seccion,calificacion,cantidad,genero
speak 1,Pre - A1,16,0
speak 1,A1,13,0
speak 1,A2,8,0
speak 1,Pre - A1,14,1
speak 1,A1,14,1
speak 1,A2,9,1
speak 2,Pre - A1,3,0
speak 2,A1,1,0
speak 2,A2,6,0
speak 2,Pre - A1,6,1
speak 2,A1,12,1
speak 2,A2,7,1
reading,Pre - A1,2,0
reading,A1 -,2,0
reading,A1,8,0
reading,A1 +,11,0
reading,A2 -,9,0
reading,A2,4,0
reading,A2 +,3,0
reading,Pre - A1,0,1
reading,A1 -,23,1
reading,A1,12,1
reading,A1 +,10,1
reading,A2 -,17,1
reading,A2,18,1
reading,A2 +,10,1
listening,Pre - A1,1,0
listening,A1 -,3,0
listening,A1,11,0
listening,A1 +,9,0
listening,A2 -,10,0
listening,A2,7,0
listening,A2 +,4,0
listening,Pre - A1,1,1
listening,A1 -,9,1
listening,A1,12,1
listening,A1 +,14,1
listening,A2 -,5,1
listening,A2,3,1
listening,A2 +,1,1
