seccion,calificacion,cantidad,genero
speak 1,Pre - A1,20,0
speak 1,A1,19,0
speak 1,A2,15,0
speak 1,Pre - A1,17,1
speak 1,A1,18,1
speak 1,A2,19,1
speak 2,Pre - A1,7,0
speak 2,A1,6,0
speak 2,A2,6,0
speak 2,Pre - A1,7,1
speak 2,A1,8,1
speak 2,A2,11,1
reading,Pre - A1,9,0
reading,A1 -,9,0
reading,A1,6,0
reading,A1 +,11,0
reading,A2 -,3,0
reading,A2,13,0
reading,A2 +,6,0
reading,Pre - A1,6,1
reading,A1 -,9,1
reading,A1,18,1
reading,A1 +,11,1
reading,A2 -,7,1
reading,A2,18,1
reading,A2 +,13,1
listening,Pre - A1,6,0
listening,A1 -,2,0
listening,A1,5,0
listening,A1 +,4,0
listening,A2 -,7,0
listening,A2,9,0
listening,A2 +,5,0
listening,Pre - A1,3,1
listening,A1 -,7,1
listening,A1,3,1
listening,A1 +,5,1
listening,A2 -,5,1
listening,A2,8,1
listening,A2 +,7,1
