Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,0,Masculino
speak 1,A1,16,Masculino
speak 1,A2,13,Masculino
speak 2,Pre - A1,0,Masculino
speak 2,A1,18,Masculino
speak 2,A2,11,Masculino
reading,Pre - A1,0,Masculino
reading,A1 -,0,Masculino
reading,A1,0,Masculino
reading,A1 +,0,Masculino
reading,A2 -,1,Masculino
reading,A2,8,Masculino
reading,A2 +,20,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,0,Masculino
listening,A1,0,Masculino
listening,A1 +,2,Masculino
listening,A2 -,1,Masculino
listening,A2,7,Masculino
listening,A2 +,19,Masculino
speak 1,Pre - A1,0,Femenino
speak 1,A1,9,Femenino
speak 1,A2,22,Femenino
speak 2,Pre - A1,1,Femenino
speak 2,A1,10,Femenino
speak 2,A2,20,Femenino
reading,Pre - A1,0,Femenino
reading,A1 -,0,Femenino
reading,A1,0,Femenino
reading,A1 +,0,Femenino
reading,A2 -,2,Femenino
reading,A2,11,Femenino
reading,A2 +,18,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,0,Femenino
listening,A1,0,Femenino
listening,A1 +,0,Femenino
listening,A2 -,3,Femenino
listening,A2,8,Femenino
listening,A2 +,20,Femenino
