Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,26,11
speak 1,A1,9,11
speak 1,A2,0,11
speak 2,Pre - A1,26,11
speak 2,A1,9,11
speak 2,A2,0,11
reading,Pre - A1,3,11
reading,A1 -,8,11
reading,A1,8,11
reading,A1 +,11,11
reading,A2 -,1,11
reading,A2,3,11
reading,A2 +,1,11
listening,Pre - A1,1,11
listening,A1 -,7,11
listening,A1,19,11
listening,A1 +,4,11
listening,A2 -,1,11
listening,A2,2,11
listening,A2 +,1,11
speak 1,Pre - A1,8,10
speak 1,A1,0,10
speak 1,A2,0,10
speak 2,Pre - A1,8,10
speak 2,A1,0,10
speak 2,A2,0,10
reading,Pre - A1,1,10
reading,A1 -,0,10
reading,A1,6,10
reading,A1 +,1,10
reading,A2 -,0,10
reading,A2,0,10
reading,A2 +,0,10
listening,Pre - A1,2,10
listening,A1 -,4,10
listening,A1,2,10
listening,A1 +,0,10
listening,A2 -,0,10
listening,A2,0,10
listening,A2 +,0,10
