Porcentaje de error de revisores,Frecuencia
0.0,4
6.0,3
5.25,3
1.25,3
2.5,2
16.0,2
14.0,2
18.0,2
2.62,2
56.75,2
17.25,2
56.0,2
57.25,2
12.0,2
10.0,1
15.12,1
9.75,1
4.0,1
6.5,1
4.38,1
3.25,1
2.0,1
10.62,1
15.88,1
8.0,1
9.25,1
29.75,1
64.0,1
19.12,1
8.5,1
22.5,1
46.5,1
45.75,1
15.75,1
38.25,1
8.62,1
56.25,1
61.75,1
35.5,1
16.62,1
50.5,1
58.5,1
23.25,1
57.0,1
55.25,1
49.5,1
50.75,1
40.5,1
13.25,1
13.0,1
53.75,1
57.5,1
37.0,1
59.0,1
29.25,1
69.5,1
47.75,1
42.25,1
67.25,1
68.5,1
64.25,1
68.25,1
40.25,1
44.75,1
55.5,1
59.75,1
54.75,1
70.25,1
