Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,9,Masculino
speak 1,A1,19,Masculino
speak 1,A2,8,Masculino
speak 2,Pre - A1,7,Masculino
speak 2,A1,19,Masculino
speak 2,A2,10,Masculino
reading,Pre - A1,6,Masculino
reading,A1 -,7,Masculino
reading,A1,6,Masculino
reading,A1 +,5,Masculino
reading,A2 -,3,Masculino
reading,A2,5,Masculino
reading,A2 +,4,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,7,Masculino
listening,A1,12,Masculino
listening,A1 +,8,Masculino
listening,A2 -,3,Masculino
listening,A2,4,Masculino
listening,A2 +,2,Masculino
speak 1,Pre - A1,12,Femenino
speak 1,A1,27,Femenino
speak 1,A2,14,Femenino
speak 2,Pre - A1,7,Femenino
speak 2,A1,31,Femenino
speak 2,A2,15,Femenino
reading,Pre - A1,7,Femenino
reading,A1 -,0,Femenino
reading,A1,14,Femenino
reading,A1 +,8,Femenino
reading,A2 -,9,Femenino
reading,A2,12,Femenino
reading,A2 +,3,Femenino
listening,Pre - A1,1,Femenino
listening,A1 -,11,Femenino
listening,A1,11,Femenino
listening,A1 +,12,Femenino
listening,A2 -,8,Femenino
listening,A2,7,Femenino
listening,A2 +,3,Femenino
