seccion,calificacion,cantidad,genero
speak 1,Pre - A1,44,0
speak 1,A1,48,0
speak 1,A2,35,0
speak 1,Pre - A1,45,1
speak 1,A1,43,1
speak 1,A2,39,1
speak 2,Pre - A1,14,0
speak 2,A1,12,0
speak 2,A2,19,0
speak 2,Pre - A1,22,1
speak 2,A1,22,1
speak 2,A2,19,1
reading,Pre - A1,19,0
reading,A1 -,18,0
reading,A1,18,0
reading,A1 +,23,0
reading,A2 -,20,0
reading,A2,16,0
reading,A2 +,21,0
reading,Pre - A1,11,1
reading,A1 -,44,1
reading,A1,37,1
reading,A1 +,33,1
reading,A2 -,45,1
reading,A2,37,1
reading,A2 +,32,1
listening,Pre - A1,21,0
listening,A1 -,8,0
listening,A1,12,0
listening,A1 +,21,0
listening,A2 -,20,0
listening,A2,18,0
listening,A2 +,14,0
listening,Pre - A1,9,1
listening,A1 -,22,1
listening,A1,12,1
listening,A1 +,22,1
listening,A2 -,23,1
listening,A2,11,1
listening,A2 +,15,1
