seccion,calificacion,cantidad,edad
speak 1,Pre - A1,32,11
speak 1,A1,12,11
speak 1,A2,0,11
speak 2,Pre - A1,33,11
speak 2,A1,11,11
speak 2,A2,0,11
reading,Pre - A1,1,11
reading,A1 -,5,11
reading,A1,14,11
reading,A1 +,11,11
reading,A2 -,5,11
reading,A2,5,11
reading,A2 +,3,11
listening,Pre - A1,0,11
listening,A1 -,2,11
listening,A1,7,11
listening,A1 +,14,11
listening,A2 -,6,11
listening,A2,13,11
listening,A2 +,2,11
speak 1,Pre - A1,8,10
speak 1,A1,3,10
speak 1,A2,1,10
speak 2,Pre - A1,9,10
speak 2,A1,3,10
speak 2,A2,0,10
reading,Pre - A1,2,10
reading,A1 -,1,10
reading,A1,2,10
reading,A1 +,1,10
reading,A2 -,4,10
reading,A2,1,10
reading,A2 +,1,10
listening,Pre - A1,0,10
listening,A1 -,1,10
listening,A1,2,10
listening,A1 +,3,10
listening,A2 -,2,10
listening,A2,4,10
listening,A2 +,0,10
