seccion,calificacion,cantidad,genero
speak 1,Pre - A1,7,0
speak 1,A1,9,0
speak 1,A2,12,0
speak 1,Pre - A1,10,1
speak 1,A1,10,1
speak 1,A2,8,1
speak 2,Pre - A1,4,0
speak 2,A1,4,0
speak 2,A2,5,0
speak 2,Pre - A1,4,1
speak 2,A1,4,1
speak 2,A2,4,1
reading,Pre - A1,3,0
reading,A1 -,2,0
reading,A1,5,0
reading,A1 +,7,0
reading,A2 -,3,0
reading,A2,4,0
reading,A2 +,2,0
reading,Pre - A1,5,1
reading,A1 -,13,1
reading,A1,12,1
reading,A1 +,16,1
reading,A2 -,13,1
reading,A2,15,1
reading,A2 +,13,1
listening,Pre - A1,5,0
listening,A1 -,7,0
listening,A1,5,0
listening,A1 +,9,0
listening,A2 -,6,0
listening,A2,6,0
listening,A2 +,3,0
listening,Pre - A1,6,1
listening,A1 -,9,1
listening,A1,6,1
listening,A1 +,5,1
listening,A2 -,2,1
listening,A2,7,1
listening,A2 +,6,1
