Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,16,Masculino
speak 1,A1,13,Masculino
speak 1,A2,1,Masculino
speak 2,Pre - A1,15,Masculino
speak 2,A1,14,Masculino
speak 2,A2,1,Masculino
reading,Pre - A1,0,Masculino
reading,A1 -,0,Masculino
reading,A1,0,Masculino
reading,A1 +,2,Masculino
reading,A2 -,3,Masculino
reading,A2,11,Masculino
reading,A2 +,14,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,0,Masculino
listening,A1,1,Masculino
listening,A1 +,6,Masculino
listening,A2 -,7,Masculino
listening,A2,8,Masculino
listening,A2 +,8,Masculino
speak 1,Pre - A1,12,Femenino
speak 1,A1,11,Femenino
speak 1,A2,2,Femenino
speak 2,Pre - A1,12,Femenino
speak 2,A1,11,Femenino
speak 2,A2,2,Femenino
reading,Pre - A1,2,Femenino
reading,A1 -,0,Femenino
reading,A1,1,Femenino
reading,A1 +,1,Femenino
reading,A2 -,3,Femenino
reading,A2,6,Femenino
reading,A2 +,12,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,0,Femenino
listening,A1,2,Femenino
listening,A1 +,3,Femenino
listening,A2 -,6,Femenino
listening,A2,9,Femenino
listening,A2 +,5,Femenino
