seccion,calificacion,cantidad,edad
speak 1,Pre - A1,15,11
speak 1,A1,25,11
speak 1,A2,4,11
speak 2,Pre - A1,30,11
speak 2,A1,10,11
speak 2,A2,4,11
reading,Pre - A1,1,11
reading,A1 -,5,11
reading,A1,6,11
reading,A1 +,11,11
reading,A2 -,10,11
reading,A2,7,11
reading,A2 +,4,11
listening,Pre - A1,0,11
listening,A1 -,3,11
listening,A1,12,11
listening,A1 +,13,11
listening,A2 -,7,11
listening,A2,7,11
listening,A2 +,2,11
speak 1,Pre - A1,4,10
speak 1,A1,3,10
speak 1,A2,1,10
speak 2,Pre - A1,3,10
speak 2,A1,4,10
speak 2,A2,1,10
reading,Pre - A1,1,10
reading,A1 -,0,10
reading,A1,1,10
reading,A1 +,2,10
reading,A2 -,1,10
reading,A2,2,10
reading,A2 +,1,10
listening,Pre - A1,0,10
listening,A1 -,1,10
listening,A1,1,10
listening,A1 +,2,10
listening,A2 -,1,10
listening,A2,2,10
listening,A2 +,1,10
speak 1,Pre - A1,5,12
speak 1,A1,3,12
speak 1,A2,0,12
speak 2,Pre - A1,4,12
speak 2,A1,4,12
speak 2,A2,0,12
reading,Pre - A1,0,12
reading,A1 -,0,12
reading,A1,2,12
reading,A1 +,2,12
reading,A2 -,2,12
reading,A2,1,12
reading,A2 +,1,12
listening,Pre - A1,0,12
listening,A1 -,0,12
listening,A1,1,12
listening,A1 +,2,12
listening,A2 -,3,12
listening,A2,2,12
listening,A2 +,0,12
