Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,15,Masculino
speak 1,A1,8,Masculino
speak 1,A2,4,Masculino
speak 2,Pre - A1,19,Masculino
speak 2,A1,4,Masculino
speak 2,A2,4,Masculino
reading,Pre - A1,0,Masculino
reading,A1 -,0,Masculino
reading,A1,0,Masculino
reading,A1 +,1,Masculino
reading,A2 -,6,Masculino
reading,A2,9,Masculino
reading,A2 +,11,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,0,Masculino
listening,A1,0,Masculino
listening,A1 +,4,Masculino
listening,A2 -,3,Masculino
listening,A2,10,Masculino
listening,A2 +,10,Masculino
speak 1,Pre - A1,13,Femenino
speak 1,A1,11,Femenino
speak 1,A2,1,Femenino
speak 2,Pre - A1,20,Femenino
speak 2,A1,4,Femenino
speak 2,A2,1,Femenino
reading,Pre - A1,0,Femenino
reading,A1 -,0,Femenino
reading,A1,1,Femenino
reading,A1 +,5,Femenino
reading,A2 -,1,Femenino
reading,A2,9,Femenino
reading,A2 +,9,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,0,Femenino
listening,A1,1,Femenino
listening,A1 +,9,Femenino
listening,A2 -,2,Femenino
listening,A2,6,Femenino
listening,A2 +,7,Femenino
