Porcentaje de error de revisores,Frecuencia
2.5,6
1.25,4
3.75,4
37.0,3
4.5,3
69.5,3
66.25,3
33.0,2
49.25,2
22.5,2
12.5,2
5.0,2
0.0,2
68.75,2
75.25,2
57.5,2
62.5,2
63.0,2
33.75,2
68.5,2
67.25,2
53.75,1
46.0,1
66.75,1
50.0,1
69.25,1
52.0,1
35.75,1
72.75,1
65.75,1
39.75,1
44.5,1
75.75,1
74.0,1
77.25,1
45.0,1
71.5,1
64.5,1
56.0,1
42.5,1
37.75,1
40.5,1
43.5,1
57.0,1
71.0,1
44.25,1
70.0,1
62.75,1
29.75,1
63.75,1
16.25,1
34.75,1
35.0,1
43.0,1
36.5,1
47.5,1
6.5,1
35.5,1
7.75,1
5.25,1
14.5,1
61.0,1
6.25,1
37.25,1
66.0,1
31.0,1
83.25,1
29.25,1
59.25,1
54.25,1
35.25,1
18.25,1
74.75,1
82.5,1
80.5,1
27.25,1
8.25,1
79.25,1
52.75,1
51.25,1
30.75,1
