Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,7,Masculino
speak 1,A1,12,Masculino
speak 1,A2,12,Masculino
speak 2,Pre - A1,8,Masculino
speak 2,A1,12,Masculino
speak 2,A2,11,Masculino
reading,Pre - A1,2,Masculino
reading,A1 -,1,Masculino
reading,A1,2,Masculino
reading,A1 +,5,Masculino
reading,A2 -,9,Masculino
reading,A2,7,Masculino
reading,A2 +,5,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,2,Masculino
listening,A1,3,Masculino
listening,A1 +,12,Masculino
listening,A2 -,4,Masculino
listening,A2,9,Masculino
listening,A2 +,1,Masculino
speak 1,Pre - A1,10,Femenino
speak 1,A1,17,Femenino
speak 1,A2,10,Femenino
speak 2,Pre - A1,6,Femenino
speak 2,A1,24,Femenino
speak 2,A2,7,Femenino
reading,Pre - A1,1,Femenino
reading,A1 -,1,Femenino
reading,A1,3,Femenino
reading,A1 +,2,Femenino
reading,A2 -,6,Femenino
reading,A2,15,Femenino
reading,A2 +,9,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,0,Femenino
listening,A1,6,Femenino
listening,A1 +,6,Femenino
listening,A2 -,9,Femenino
listening,A2,7,Femenino
listening,A2 +,9,Femenino
