seccion,calificacion,cantidad,genero
speak 1,Pre - A1,35,0
speak 1,A1,34,0
speak 1,A2,38,0
speak 1,Pre - A1,45,1
speak 1,A1,37,1
speak 1,A2,25,1
speak 2,Pre - A1,16,0
speak 2,A1,25,0
speak 2,A2,18,0
speak 2,Pre - A1,18,1
speak 2,A1,11,1
speak 2,A2,8,1
reading,Pre - A1,11,0
reading,A1 -,14,0
reading,A1,19,0
reading,A1 +,10,0
reading,A2 -,14,0
reading,A2,12,0
reading,A2 +,21,0
reading,Pre - A1,17,1
reading,A1 -,35,1
reading,A1,37,1
reading,A1 +,38,1
reading,A2 -,33,1
reading,A2,36,1
reading,A2 +,41,1
listening,Pre - A1,14,0
listening,A1 -,18,0
listening,A1,14,0
listening,A1 +,9,0
listening,A2 -,15,0
listening,A2,22,0
listening,A2 +,18,0
listening,Pre - A1,14,1
listening,A1 -,15,1
listening,A1,14,1
listening,A1 +,16,1
listening,A2 -,13,1
listening,A2,23,1
listening,A2 +,15,1
