Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,7,Masculino
speak 1,A1,11,Masculino
speak 1,A2,13,Masculino
speak 2,Pre - A1,7,Masculino
speak 2,A1,12,Masculino
speak 2,A2,12,Masculino
reading,Pre - A1,0,Masculino
reading,A1 -,2,Masculino
reading,A1,2,Masculino
reading,A1 +,1,Masculino
reading,A2 -,8,Masculino
reading,A2,7,Masculino
reading,A2 +,10,Masculino
listening,Pre - A1,1,Masculino
listening,A1 -,4,Masculino
listening,A1,6,Masculino
listening,A1 +,5,Masculino
listening,A2 -,4,Masculino
listening,A2,8,Masculino
listening,A2 +,3,Masculino
speak 1,Pre - A1,1,Femenino
speak 1,A1,23,Femenino
speak 1,A2,11,Femenino
speak 2,Pre - A1,3,Femenino
speak 2,A1,19,Femenino
speak 2,A2,13,Femenino
reading,Pre - A1,0,Femenino
reading,A1 -,1,Femenino
reading,A1,1,Femenino
reading,A1 +,1,Femenino
reading,A2 -,7,Femenino
reading,A2,9,Femenino
reading,A2 +,16,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,3,Femenino
listening,A1,2,Femenino
listening,A1 +,9,Femenino
listening,A2 -,6,Femenino
listening,A2,12,Femenino
listening,A2 +,3,Femenino
