Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,4,Masculino
speak 1,A1,10,Masculino
speak 1,A2,0,Masculino
speak 2,Pre - A1,7,Masculino
speak 2,A1,7,Masculino
speak 2,A2,0,Masculino
reading,Pre - A1,0,Masculino
reading,A1 -,1,Masculino
reading,A1,3,Masculino
reading,A1 +,4,Masculino
reading,A2 -,3,Masculino
reading,A2,1,Masculino
reading,A2 +,2,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,5,Masculino
listening,A1,3,Masculino
listening,A1 +,3,Masculino
listening,A2 -,2,Masculino
listening,A2,0,Masculino
listening,A2 +,1,Masculino
speak 1,Pre - A1,10,Femenino
speak 1,A1,15,Femenino
speak 1,A2,0,Femenino
speak 2,Pre - A1,9,Femenino
speak 2,A1,16,Femenino
speak 2,A2,0,Femenino
reading,Pre - A1,1,Femenino
reading,A1 -,1,Femenino
reading,A1,2,Femenino
reading,A1 +,2,Femenino
reading,A2 -,5,Femenino
reading,A2,10,Femenino
reading,A2 +,4,Femenino
listening,Pre - A1,1,Femenino
listening,A1 -,2,Femenino
listening,A1,7,Femenino
listening,A1 +,6,Femenino
listening,A2 -,4,Femenino
listening,A2,3,Femenino
listening,A2 +,2,Femenino
