seccion,calificacion,cantidad,genero
speak 1,Pre - A1,20,0
speak 1,A1,24,0
speak 1,A2,13,0
speak 1,Pre - A1,17,1
speak 1,A1,22,1
speak 1,A2,18,1
speak 2,Pre - A1,7,0
speak 2,A1,2,0
speak 2,A2,15,0
speak 2,Pre - A1,7,1
speak 2,A1,5,1
speak 2,A2,10,1
reading,Pre - A1,11,0
reading,A1 -,7,0
reading,A1,6,0
reading,A1 +,11,0
reading,A2 -,11,0
reading,A2,8,0
reading,A2 +,6,0
reading,Pre - A1,8,1
reading,A1 -,14,1
reading,A1,19,1
reading,A1 +,17,1
reading,A2 -,25,1
reading,A2,17,1
reading,A2 +,8,1
listening,Pre - A1,6,0
listening,A1 -,8,0
listening,A1,5,0
listening,A1 +,4,0
listening,A2 -,16,0
listening,A2,5,0
listening,A2 +,6,0
listening,Pre - A1,6,1
listening,A1 -,12,1
listening,A1,6,1
listening,A1 +,10,1
listening,A2 -,5,1
listening,A2,7,1
listening,A2 +,4,1
