Porcentaje de error de revisores,Frecuencia
27.0,3
55.25,3
2.0,3
32.5,2
46.0,2
4.0,2
20.0,2
25.0,2
41.5,2
1.25,2
59.75,1
64.75,1
45.5,1
2.5,1
61.25,1
57.0,1
45.25,1
74.75,1
0.0,1
70.75,1
54.0,1
80.5,1
73.5,1
34.75,1
47.5,1
69.5,1
62.25,1
42.75,1
80.0,1
69.25,1
50.75,1
48.75,1
77.0,1
67.75,1
3.75,1
51.75,1
36.5,1
23.25,1
33.75,1
78.5,1
52.0,1
78.75,1
92.25,1
31.0,1
5.75,1
39.0,1
26.0,1
21.0,1
68.25,1
39.25,1
19.5,1
12.75,1
63.25,1
19.0,1
49.5,1
25.5,1
23.75,1
76.25,1
30.5,1
19.75,1
48.0,1
42.5,1
50.25,1
40.0,1
15.0,1
33.5,1
44.5,1
41.25,1
43.5,1
24.75,1
28.5,1
15.25,1
17.75,1
23.0,1
26.5,1
