Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,11,Masculino
speak 1,A1,10,Masculino
speak 1,A2,2,Masculino
speak 2,Pre - A1,11,Masculino
speak 2,A1,10,Masculino
speak 2,A2,2,Masculino
reading,Pre - A1,3,Masculino
reading,A1 -,3,Masculino
reading,A1,2,Masculino
reading,A1 +,2,Masculino
reading,A2 -,4,Masculino
reading,A2,6,Masculino
reading,A2 +,2,Masculino
listening,Pre - A1,2,Masculino
listening,A1 -,7,Masculino
listening,A1,3,Masculino
listening,A1 +,7,Masculino
listening,A2 -,1,Masculino
listening,A2,2,Masculino
listening,A2 +,1,Masculino
speak 1,Pre - A1,9,Femenino
speak 1,A1,14,Femenino
speak 1,A2,1,Femenino
speak 2,Pre - A1,6,Femenino
speak 2,A1,14,Femenino
speak 2,A2,4,Femenino
reading,Pre - A1,1,Femenino
reading,A1 -,1,Femenino
reading,A1,2,Femenino
reading,A1 +,6,Femenino
reading,A2 -,4,Femenino
reading,A2,8,Femenino
reading,A2 +,2,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,4,Femenino
listening,A1,7,Femenino
listening,A1 +,4,Femenino
listening,A2 -,4,Femenino
listening,A2,4,Femenino
listening,A2 +,1,Femenino
