seccion,calificacion,cantidad,edad
speak 1,Pre - A1,10,11
speak 1,A1,16,11
speak 1,A2,1,11
speak 2,Pre - A1,12,11
speak 2,A1,13,11
speak 2,A2,2,11
reading,Pre - A1,4,11
reading,A1 -,2,11
reading,A1,2,11
reading,A1 +,3,11
reading,A2 -,6,11
reading,A2,8,11
reading,A2 +,1,11
listening,Pre - A1,2,11
listening,A1 -,7,11
listening,A1,6,11
listening,A1 +,7,11
listening,A2 -,2,11
listening,A2,3,11
listening,A2 +,0,11
speak 1,Pre - A1,3,10
speak 1,A1,2,10
speak 1,A2,0,10
speak 2,Pre - A1,2,10
speak 2,A1,3,10
speak 2,A2,0,10
reading,Pre - A1,0,10
reading,A1 -,2,10
reading,A1,0,10
reading,A1 +,0,10
reading,A2 -,1,10
reading,A2,2,10
reading,A2 +,0,10
listening,Pre - A1,0,10
listening,A1 -,2,10
listening,A1,1,10
listening,A1 +,2,10
listening,A2 -,0,10
listening,A2,0,10
listening,A2 +,0,10
speak 1,Pre - A1,1,13
speak 1,A1,0,13
speak 1,A2,0,13
speak 2,Pre - A1,1,13
speak 2,A1,0,13
speak 2,A2,0,13
reading,Pre - A1,0,13
reading,A1 -,0,13
reading,A1,0,13
reading,A1 +,1,13
reading,A2 -,0,13
reading,A2,0,13
reading,A2 +,0,13
listening,Pre - A1,0,13
listening,A1 -,0,13
listening,A1,1,13
listening,A1 +,0,13
listening,A2 -,0,13
listening,A2,0,13
listening,A2 +,0,13
speak 1,Pre - A1,1,12
speak 1,A1,1,12
speak 1,A2,0,12
speak 2,Pre - A1,1,12
speak 2,A1,0,12
speak 2,A2,1,12
reading,Pre - A1,0,12
reading,A1 -,0,12
reading,A1,1,12
reading,A1 +,0,12
reading,A2 -,0,12
reading,A2,1,12
reading,A2 +,0,12
listening,Pre - A1,0,12
listening,A1 -,1,12
listening,A1,0,12
listening,A1 +,0,12
listening,A2 -,1,12
listening,A2,0,12
listening,A2 +,0,12
