Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,4,Masculino
speak 1,A1,22,Masculino
speak 1,A2,0,Masculino
speak 2,Pre - A1,3,Masculino
speak 2,A1,19,Masculino
speak 2,A2,4,Masculino
reading,Pre - A1,0,Masculino
reading,A1 -,1,Masculino
reading,A1,5,Masculino
reading,A1 +,5,Masculino
reading,A2 -,8,Masculino
reading,A2,7,Masculino
reading,A2 +,0,Masculino
listening,Pre - A1,1,Masculino
listening,A1 -,0,Masculino
listening,A1,8,Masculino
listening,A1 +,1,Masculino
listening,A2 -,5,Masculino
listening,A2,8,Masculino
listening,A2 +,2,Masculino
speak 1,Pre - A1,10,Femenino
speak 1,A1,28,Femenino
speak 1,A2,6,Femenino
speak 2,Pre - A1,4,Femenino
speak 2,A1,33,Femenino
speak 2,A2,7,Femenino
reading,Pre - A1,0,Femenino
reading,A1 -,0,Femenino
reading,A1,4,Femenino
reading,A1 +,8,Femenino
reading,A2 -,16,Femenino
reading,A2,10,Femenino
reading,A2 +,6,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,2,Femenino
listening,A1,6,Femenino
listening,A1 +,11,Femenino
listening,A2 -,7,Femenino
listening,A2,15,Femenino
listening,A2 +,3,Femenino
