Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,44,11
speak 1,A1,5,11
speak 1,A2,2,11
speak 2,Pre - A1,44,11
speak 2,A1,4,11
speak 2,A2,3,11
reading,Pre - A1,0,11
reading,A1 -,1,11
reading,A1,6,11
reading,A1 +,9,11
reading,A2 -,14,11
reading,A2,15,11
reading,A2 +,6,11
listening,Pre - A1,1,11
listening,A1 -,1,11
listening,A1,7,11
listening,A1 +,7,11
listening,A2 -,9,11
listening,A2,21,11
listening,A2 +,5,11
speak 1,Pre - A1,15,10
speak 1,A1,1,10
speak 1,A2,1,10
speak 2,Pre - A1,16,10
speak 2,A1,0,10
speak 2,A2,1,10
reading,Pre - A1,0,10
reading,A1 -,0,10
reading,A1,2,10
reading,A1 +,4,10
reading,A2 -,9,10
reading,A2,2,10
reading,A2 +,0,10
listening,Pre - A1,0,10
listening,A1 -,0,10
listening,A1,7,10
listening,A1 +,5,10
listening,A2 -,3,10
listening,A2,2,10
listening,A2 +,0,10
speak 1,Pre - A1,2,12
speak 1,A1,0,12
speak 1,A2,0,12
speak 2,Pre - A1,2,12
speak 2,A1,0,12
speak 2,A2,0,12
reading,Pre - A1,0,12
reading,A1 -,0,12
reading,A1,1,12
reading,A1 +,0,12
reading,A2 -,1,12
reading,A2,0,12
reading,A2 +,0,12
listening,Pre - A1,0,12
listening,A1 -,1,12
listening,A1,0,12
listening,A1 +,0,12
listening,A2 -,0,12
listening,A2,0,12
listening,A2 +,0,12
