Porcentaje de error de revisores,Frecuencia
46.25,2
59.75,2
29.25,2
39.0,2
45.75,2
28.5,2
64.75,2
55.75,1
37.5,1
19.0,1
17.5,1
61.5,1
68.75,1
19.5,1
50.5,1
7.0,1
23.75,1
8.0,1
18.5,1
39.5,1
54.75,1
26.5,1
22.0,1
28.0,1
34.25,1
5.75,1
80.0,1
31.0,1
36.5,1
42.25,1
6.5,1
36.0,1
21.75,1
30.75,1
41.25,1
60.75,1
1.25,1
4.0,1
68.0,1
56.75,1
52.0,1
21.5,1
15.25,1
25.5,1
49.75,1
58.25,1
30.0,1
51.5,1
71.25,1
64.25,1
38.5,1
31.5,1
37.0,1
9.0,1
53.75,1
34.0,1
45.0,1
65.5,1
54.0,1
59.25,1
14.0,1
21.0,1
23.25,1
