Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,13,11
speak 1,A1,37,11
speak 1,A2,14,11
speak 2,Pre - A1,21,11
speak 2,A1,33,11
speak 2,A2,10,11
reading,Pre - A1,1,11
reading,A1 -,2,11
reading,A1,4,11
reading,A1 +,5,11
reading,A2 -,16,11
reading,A2,25,11
reading,A2 +,11,11
listening,Pre - A1,3,11
listening,A1 -,0,11
listening,A1,11,11
listening,A1 +,12,11
listening,A2 -,17,11
listening,A2,11,11
listening,A2 +,10,11
speak 1,Pre - A1,1,10
speak 1,A1,2,10
speak 1,A2,1,10
speak 2,Pre - A1,2,10
speak 2,A1,2,10
speak 2,A2,0,10
reading,Pre - A1,0,10
reading,A1 -,0,10
reading,A1,0,10
reading,A1 +,1,10
reading,A2 -,1,10
reading,A2,2,10
reading,A2 +,0,10
listening,Pre - A1,0,10
listening,A1 -,0,10
listening,A1,1,10
listening,A1 +,1,10
listening,A2 -,1,10
listening,A2,1,10
listening,A2 +,0,10
