seccion,calificacion,cantidad,genero
speak 1,Pre - A1,50,0
speak 1,A1,59,0
speak 1,A2,58,0
speak 1,Pre - A1,50,1
speak 1,A1,55,1
speak 1,A2,62,1
speak 2,Pre - A1,29,0
speak 2,A1,27,0
speak 2,A2,30,0
speak 2,Pre - A1,21,1
speak 2,A1,22,1
speak 2,A2,22,1
reading,Pre - A1,16,0
reading,A1 -,27,0
reading,A1,23,0
reading,A1 +,22,0
reading,A2 -,24,0
reading,A2,27,0
reading,A2 +,26,0
reading,Pre - A1,18,1
reading,A1 -,65,1
reading,A1,49,1
reading,A1 +,50,1
reading,A2 -,62,1
reading,A2,51,1
reading,A2 +,51,1
listening,Pre - A1,12,0
listening,A1 -,24,0
listening,A1,29,0
listening,A1 +,28,0
listening,A2 -,23,0
listening,A2,22,0
listening,A2 +,26,0
listening,Pre - A1,21,1
listening,A1 -,28,1
listening,A1,20,1
listening,A1 +,24,1
listening,A2 -,25,1
listening,A2,26,1
listening,A2 +,20,1
