seccion,calificacion,cantidad,edad
speak 1,Pre - A1,45,11
speak 1,A1,4,11
speak 1,A2,7,11
speak 2,Pre - A1,43,11
speak 2,A1,6,11
speak 2,A2,7,11
reading,Pre - A1,3,11
reading,A1 -,5,11
reading,A1,12,11
reading,A1 +,15,11
reading,A2 -,12,11
reading,A2,7,11
reading,A2 +,2,11
listening,Pre - A1,3,11
listening,A1 -,10,11
listening,A1,19,11
listening,A1 +,18,11
listening,A2 -,2,11
listening,A2,4,11
listening,A2 +,0,11
speak 1,Pre - A1,7,10
speak 1,A1,2,10
speak 1,A2,1,10
speak 2,Pre - A1,7,10
speak 2,A1,2,10
speak 2,A2,1,10
reading,Pre - A1,3,10
reading,A1 -,1,10
reading,A1,2,10
reading,A1 +,2,10
reading,A2 -,1,10
reading,A2,1,10
reading,A2 +,0,10
listening,Pre - A1,1,10
listening,A1 -,3,10
listening,A1,2,10
listening,A1 +,3,10
listening,A2 -,1,10
listening,A2,0,10
listening,A2 +,0,10
