Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,6,Masculino
speak 1,A1,16,Masculino
speak 1,A2,1,Masculino
speak 2,Pre - A1,11,Masculino
speak 2,A1,11,Masculino
speak 2,A2,1,Masculino
reading,Pre - A1,2,Masculino
reading,A1 -,1,Masculino
reading,A1,0,Masculino
reading,A1 +,3,Masculino
reading,A2 -,9,Masculino
reading,A2,7,Masculino
reading,A2 +,1,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,2,Masculino
listening,A1,5,Masculino
listening,A1 +,6,Masculino
listening,A2 -,1,Masculino
listening,A2,4,Masculino
listening,A2 +,5,Masculino
speak 1,Pre - A1,4,Femenino
speak 1,A1,25,Femenino
speak 1,A2,0,Femenino
speak 2,Pre - A1,13,Femenino
speak 2,A1,16,Femenino
speak 2,A2,0,Femenino
reading,Pre - A1,1,Femenino
reading,A1 -,1,Femenino
reading,A1,5,Femenino
reading,A1 +,6,Femenino
reading,A2 -,7,Femenino
reading,A2,8,Femenino
reading,A2 +,1,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,1,Femenino
listening,A1,9,Femenino
listening,A1 +,8,Femenino
listening,A2 -,0,Femenino
listening,A2,5,Femenino
listening,A2 +,6,Femenino
