seccion,calificacion,cantidad,genero
speak 1,Pre - A1,20,0
speak 1,A1,9,0
speak 1,A2,7,0
speak 1,Pre - A1,20,1
speak 1,A1,10,1
speak 1,A2,6,1
speak 2,Pre - A1,1,0
speak 2,A1,2,0
speak 2,A2,4,0
speak 2,Pre - A1,7,1
speak 2,A1,14,1
speak 2,A2,6,1
reading,Pre - A1,2,0
reading,A1 -,1,0
reading,A1,9,0
reading,A1 +,9,0
reading,A2 -,6,0
reading,A2,1,0
reading,A2 +,8,0
reading,Pre - A1,1,1
reading,A1 -,21,1
reading,A1,12,1
reading,A1 +,11,1
reading,A2 -,19,1
reading,A2,13,1
reading,A2 +,12,1
listening,Pre - A1,0,0
listening,A1 -,0,0
listening,A1,8,0
listening,A1 +,5,0
listening,A2 -,11,0
listening,A2,19,0
listening,A2 +,1,0
listening,Pre - A1,5,1
listening,A1 -,4,1
listening,A1,5,1
listening,A1 +,11,1
listening,A2 -,11,1
listening,A2,6,1
listening,A2 +,2,1
