Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,2,Masculino
speak 1,A1,11,Masculino
speak 1,A2,8,Masculino
speak 2,Pre - A1,2,Masculino
speak 2,A1,12,Masculino
speak 2,A2,7,Masculino
reading,Pre - A1,0,Masculino
reading,A1 -,1,Masculino
reading,A1,3,Masculino
reading,A1 +,2,Masculino
reading,A2 -,4,Masculino
reading,A2,6,Masculino
reading,A2 +,5,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,0,Masculino
listening,A1,0,Masculino
listening,A1 +,11,Masculino
listening,A2 -,2,Masculino
listening,A2,4,Masculino
listening,A2 +,4,Masculino
speak 1,Pre - A1,3,Femenino
speak 1,A1,14,Femenino
speak 1,A2,8,Femenino
speak 2,Pre - A1,2,Femenino
speak 2,A1,18,Femenino
speak 2,A2,5,Femenino
reading,Pre - A1,0,Femenino
reading,A1 -,2,Femenino
reading,A1,3,Femenino
reading,A1 +,2,Femenino
reading,A2 -,4,Femenino
reading,A2,8,Femenino
reading,A2 +,6,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,0,Femenino
listening,A1,3,Femenino
listening,A1 +,9,Femenino
listening,A2 -,5,Femenino
listening,A2,4,Femenino
listening,A2 +,4,Femenino
