Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,20,Masculino
speak 1,A1,17,Masculino
speak 1,A2,0,Masculino
speak 2,Pre - A1,16,Masculino
speak 2,A1,21,Masculino
speak 2,A2,0,Masculino
reading,Pre - A1,4,Masculino
reading,A1 -,3,Masculino
reading,A1,8,Masculino
reading,A1 +,5,Masculino
reading,A2 -,11,Masculino
reading,A2,5,Masculino
reading,A2 +,1,Masculino
listening,Pre - A1,4,Masculino
listening,A1 -,16,Masculino
listening,A1,12,Masculino
listening,A1 +,5,Masculino
listening,A2 -,0,Masculino
listening,A2,0,Masculino
listening,A2 +,0,Masculino
speak 1,Pre - A1,6,Femenino
speak 1,A1,18,Femenino
speak 1,A2,1,Femenino
speak 2,Pre - A1,6,Femenino
speak 2,A1,18,Femenino
speak 2,A2,1,Femenino
reading,Pre - A1,1,Femenino
reading,A1 -,1,Femenino
reading,A1,2,Femenino
reading,A1 +,5,Femenino
reading,A2 -,6,Femenino
reading,A2,9,Femenino
reading,A2 +,1,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,5,Femenino
listening,A1,10,Femenino
listening,A1 +,5,Femenino
listening,A2 -,3,Femenino
listening,A2,1,Femenino
listening,A2 +,1,Femenino
