Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,32,Masculino
speak 1,A1,2,Masculino
speak 1,A2,0,Masculino
speak 2,Pre - A1,32,Masculino
speak 2,A1,2,Masculino
speak 2,A2,0,Masculino
reading,Pre - A1,13,Masculino
reading,A1 -,3,Masculino
reading,A1,6,Masculino
reading,A1 +,2,Masculino
reading,A2 -,3,Masculino
reading,A2,1,Masculino
reading,A2 +,0,Masculino
listening,Pre - A1,6,Masculino
listening,A1 -,16,Masculino
listening,A1,4,Masculino
listening,A1 +,5,Masculino
listening,A2 -,1,Masculino
listening,A2,0,Masculino
listening,A2 +,0,Masculino
speak 1,Pre - A1,28,Femenino
speak 1,A1,4,Femenino
speak 1,A2,0,Femenino
speak 2,Pre - A1,26,Femenino
speak 2,A1,6,Femenino
speak 2,A2,0,Femenino
reading,Pre - A1,6,Femenino
reading,A1 -,6,Femenino
reading,A1,11,Femenino
reading,A1 +,3,Femenino
reading,A2 -,2,Femenino
reading,A2,2,Femenino
reading,A2 +,0,Femenino
listening,Pre - A1,3,Femenino
listening,A1 -,14,Femenino
listening,A1,13,Femenino
listening,A1 +,1,Femenino
listening,A2 -,0,Femenino
listening,A2,1,Femenino
listening,A2 +,0,Femenino
