seccion,calificacion,cantidad,genero
speak 1,Pre - A1,31,0
speak 1,A1,8,0
speak 1,A2,5,0
speak 2,Pre - A1,31,0
speak 2,A1,8,0
speak 2,A2,5,0
reading,Pre - A1,3,0
reading,A1 -,7,0
reading,A1,8,0
reading,A1 +,8,0
reading,A2 -,12,0
reading,A2,4,0
reading,A2 +,2,0
listening,Pre - A1,1,0
listening,A1 -,6,0
listening,A1,11,0
listening,A1 +,12,0
listening,A2 -,6,0
listening,A2,5,0
listening,A2 +,2,0
speak 1,Pre - A1,33,1
speak 1,A1,17,1
speak 1,A2,7,1
speak 2,Pre - A1,29,1
speak 2,A1,22,1
speak 2,A2,6,1
reading,Pre - A1,2,1
reading,A1 -,3,1
reading,A1,6,1
reading,A1 +,9,1
reading,A2 -,11,1
reading,A2,23,1
reading,A2 +,3,1
listening,Pre - A1,0,1
listening,A1 -,3,1
listening,A1,8,1
listening,A1 +,16,1
listening,A2 -,12,1
listening,A2,16,1
listening,A2 +,2,1
