Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,14,10
speak 1,A1,7,10
speak 1,A2,3,10
speak 2,Pre - A1,15,10
speak 2,A1,6,10
speak 2,A2,3,10
reading,Pre - A1,1,10
reading,A1 -,1,10
reading,A1,5,10
reading,A1 +,2,10
reading,A2 -,6,10
reading,A2,6,10
reading,A2 +,3,10
listening,Pre - A1,1,10
listening,A1 -,1,10
listening,A1,6,10
listening,A1 +,8,10
listening,A2 -,3,10
listening,A2,2,10
listening,A2 +,2,10
speak 1,Pre - A1,50,11
speak 1,A1,18,11
speak 1,A2,9,11
speak 2,Pre - A1,45,11
speak 2,A1,24,11
speak 2,A2,8,11
reading,Pre - A1,4,11
reading,A1 -,9,11
reading,A1,9,11
reading,A1 +,15,11
reading,A2 -,17,11
reading,A2,21,11
reading,A2 +,2,11
listening,Pre - A1,0,11
listening,A1 -,8,11
listening,A1,13,11
listening,A1 +,20,11
listening,A2 -,15,11
listening,A2,19,11
listening,A2 +,2,11
