seccion,calificacion,cantidad,genero
speak 1,Pre - A1,36,0
speak 1,A1,29,0
speak 1,A2,39,0
speak 1,Pre - A1,34,1
speak 1,A1,36,1
speak 1,A2,34,1
speak 2,Pre - A1,18,0
speak 2,A1,20,0
speak 2,A2,11,0
speak 2,Pre - A1,10,1
speak 2,A1,15,1
speak 2,A2,13,1
reading,Pre - A1,17,0
reading,A1 -,16,0
reading,A1,13,0
reading,A1 +,18,0
reading,A2 -,20,0
reading,A2,15,0
reading,A2 +,13,0
reading,Pre - A1,9,1
reading,A1 -,52,1
reading,A1,38,1
reading,A1 +,34,1
reading,A2 -,36,1
reading,A2,47,1
reading,A2 +,41,1
listening,Pre - A1,17,0
listening,A1 -,10,0
listening,A1,13,0
listening,A1 +,24,0
listening,A2 -,13,0
listening,A2,20,0
listening,A2 +,27,0
listening,Pre - A1,22,1
listening,A1 -,17,1
listening,A1,19,1
listening,A1 +,18,1
listening,A2 -,22,1
listening,A2,13,1
listening,A2 +,13,1
