Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,2,10
speak 1,A1,7,10
speak 1,A2,2,10
speak 2,Pre - A1,3,10
speak 2,A1,6,10
speak 2,A2,2,10
reading,Pre - A1,1,10
reading,A1 -,0,10
reading,A1,3,10
reading,A1 +,4,10
reading,A2 -,1,10
reading,A2,2,10
reading,A2 +,0,10
listening,Pre - A1,0,10
listening,A1 -,1,10
listening,A1,4,10
listening,A1 +,3,10
listening,A2 -,0,10
listening,A2,3,10
listening,A2 +,0,10
speak 1,Pre - A1,22,11
speak 1,A1,19,11
speak 1,A2,3,11
speak 2,Pre - A1,24,11
speak 2,A1,16,11
speak 2,A2,4,11
reading,Pre - A1,9,11
reading,A1 -,5,11
reading,A1,2,11
reading,A1 +,10,11
reading,A2 -,12,11
reading,A2,5,11
reading,A2 +,1,11
listening,Pre - A1,1,11
listening,A1 -,11,11
listening,A1,14,11
listening,A1 +,9,11
listening,A2 -,5,11
listening,A2,3,11
listening,A2 +,1,11
