Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,19,Masculino
speak 1,A1,10,Masculino
speak 1,A2,1,Masculino
speak 2,Pre - A1,17,Masculino
speak 2,A1,12,Masculino
speak 2,A2,1,Masculino
reading,Pre - A1,1,Masculino
reading,A1 -,5,Masculino
reading,A1,5,Masculino
reading,A1 +,11,Masculino
reading,A2 -,4,Masculino
reading,A2,3,Masculino
reading,A2 +,1,Masculino
listening,Pre - A1,2,Masculino
listening,A1 -,9,Masculino
listening,A1,7,Masculino
listening,A1 +,7,Masculino
listening,A2 -,1,Masculino
listening,A2,3,Masculino
listening,A2 +,1,Masculino
speak 1,Pre - A1,17,Femenino
speak 1,A1,12,Femenino
speak 1,A2,5,Femenino
speak 2,Pre - A1,16,Femenino
speak 2,A1,15,Femenino
speak 2,A2,3,Femenino
reading,Pre - A1,3,Femenino
reading,A1 -,3,Femenino
reading,A1,9,Femenino
reading,A1 +,3,Femenino
reading,A2 -,10,Femenino
reading,A2,4,Femenino
reading,A2 +,2,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,5,Femenino
listening,A1,12,Femenino
listening,A1 +,9,Femenino
listening,A2 -,4,Femenino
listening,A2,3,Femenino
listening,A2 +,1,Femenino
