Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,19,Masculino
speak 1,A1,24,Masculino
speak 1,A2,1,Masculino
speak 2,Pre - A1,18,Masculino
speak 2,A1,25,Masculino
speak 2,A2,1,Masculino
reading,Pre - A1,7,Masculino
reading,A1 -,5,Masculino
reading,A1,3,Masculino
reading,A1 +,7,Masculino
reading,A2 -,7,Masculino
reading,A2,8,Masculino
reading,A2 +,7,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,3,Masculino
listening,A1,8,Masculino
listening,A1 +,13,Masculino
listening,A2 -,6,Masculino
listening,A2,7,Masculino
listening,A2 +,7,Masculino
speak 1,Pre - A1,21,Femenino
speak 1,A1,19,Femenino
speak 1,A2,7,Femenino
speak 2,Pre - A1,21,Femenino
speak 2,A1,23,Femenino
speak 2,A2,3,Femenino
reading,Pre - A1,5,Femenino
reading,A1 -,3,Femenino
reading,A1,8,Femenino
reading,A1 +,6,Femenino
reading,A2 -,6,Femenino
reading,A2,8,Femenino
reading,A2 +,11,Femenino
listening,Pre - A1,1,Femenino
listening,A1 -,5,Femenino
listening,A1,7,Femenino
listening,A1 +,9,Femenino
listening,A2 -,8,Femenino
listening,A2,12,Femenino
listening,A2 +,5,Femenino
