Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,6,Masculino
speak 1,A1,14,Masculino
speak 1,A2,8,Masculino
speak 2,Pre - A1,7,Masculino
speak 2,A1,11,Masculino
speak 2,A2,10,Masculino
reading,Pre - A1,0,Masculino
reading,A1 -,4,Masculino
reading,A1,5,Masculino
reading,A1 +,3,Masculino
reading,A2 -,5,Masculino
reading,A2,9,Masculino
reading,A2 +,2,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,6,Masculino
listening,A1,2,Masculino
listening,A1 +,11,Masculino
listening,A2 -,6,Masculino
listening,A2,3,Masculino
listening,A2 +,0,Masculino
speak 1,Pre - A1,11,Femenino
speak 1,A1,17,Femenino
speak 1,A2,13,Femenino
speak 2,Pre - A1,9,Femenino
speak 2,A1,20,Femenino
speak 2,A2,12,Femenino
reading,Pre - A1,0,Femenino
reading,A1 -,4,Femenino
reading,A1,2,Femenino
reading,A1 +,4,Femenino
reading,A2 -,14,Femenino
reading,A2,13,Femenino
reading,A2 +,4,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,1,Femenino
listening,A1,7,Femenino
listening,A1 +,17,Femenino
listening,A2 -,9,Femenino
listening,A2,5,Femenino
listening,A2 +,2,Femenino
