Porcentaje de error de revisores,Frecuencia
58.5,4
51.5,2
38.0,2
60.0,2
35.0,2
28.0,1
65.75,1
26.5,1
68.25,1
45.75,1
42.5,1
35.75,1
36.5,1
59.5,1
39.75,1
11.5,1
21.5,1
35.5,1
33.75,1
27.5,1
37.25,1
41.75,1
52.5,1
43.5,1
62.5,1
48.0,1
39.25,1
17.75,1
66.75,1
34.25,1
29.75,1
38.25,1
15.0,1
56.0,1
52.25,1
27.75,1
67.0,1
53.25,1
53.5,1
40.75,1
46.75,1
50.0,1
52.75,1
41.0,1
41.25,1
31.25,1
66.0,1
23.25,1
70.5,1
22.5,1
14.5,1
59.25,1
68.0,1
61.25,1
53.75,1
56.5,1
18.0,1
47.5,1
64.25,1
54.75,1
63.75,1
62.0,1
