seccion,calificacion,cantidad,genero
speak 1,Pre - A1,12,0
speak 1,A1,12,0
speak 1,A2,14,0
speak 1,Pre - A1,11,1
speak 1,A1,13,1
speak 1,A2,14,1
speak 2,Pre - A1,5,0
speak 2,A1,6,0
speak 2,A2,6,0
speak 2,Pre - A1,3,1
speak 2,A1,4,1
speak 2,A2,5,1
reading,Pre - A1,9,0
reading,A1 -,4,0
reading,A1,4,0
reading,A1 +,7,0
reading,A2 -,5,0
reading,A2,6,0
reading,A2 +,6,0
reading,Pre - A1,6,1
reading,A1 -,15,1
reading,A1,10,1
reading,A1 +,10,1
reading,A2 -,14,1
reading,A2,11,1
reading,A2 +,10,1
listening,Pre - A1,6,0
listening,A1 -,2,0
listening,A1,9,0
listening,A1 +,6,0
listening,A2 -,0,0
listening,A2,5,0
listening,A2 +,7,0
listening,Pre - A1,3,1
listening,A1 -,3,1
listening,A1,6,1
listening,A1 +,4,1
listening,A2 -,4,1
listening,A2,3,1
listening,A2 +,12,1
