Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,17,Masculino
speak 1,A1,4,Masculino
speak 1,A2,4,Masculino
speak 2,Pre - A1,14,Masculino
speak 2,A1,9,Masculino
speak 2,A2,2,Masculino
reading,Pre - A1,2,Masculino
reading,A1 -,3,Masculino
reading,A1,11,Masculino
reading,A1 +,1,Masculino
reading,A2 -,5,Masculino
reading,A2,2,Masculino
reading,A2 +,1,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,3,Masculino
listening,A1,8,Masculino
listening,A1 +,9,Masculino
listening,A2 -,1,Masculino
listening,A2,1,Masculino
listening,A2 +,2,Masculino
speak 1,Pre - A1,13,Femenino
speak 1,A1,14,Femenino
speak 1,A2,2,Femenino
speak 2,Pre - A1,15,Femenino
speak 2,A1,12,Femenino
speak 2,A2,2,Femenino
reading,Pre - A1,2,Femenino
reading,A1 -,6,Femenino
reading,A1,15,Femenino
reading,A1 +,4,Femenino
reading,A2 -,2,Femenino
reading,A2,0,Femenino
reading,A2 +,0,Femenino
listening,Pre - A1,1,Femenino
listening,A1 -,2,Femenino
listening,A1,9,Femenino
listening,A1 +,14,Femenino
listening,A2 -,2,Femenino
listening,A2,1,Femenino
listening,A2 +,0,Femenino
