Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,38,Masculino
speak 1,A1,0,Masculino
speak 1,A2,1,Masculino
speak 2,Pre - A1,38,Masculino
speak 2,A1,0,Masculino
speak 2,A2,1,Masculino
reading,Pre - A1,0,Masculino
reading,A1 -,0,Masculino
reading,A1,3,Masculino
reading,A1 +,6,Masculino
reading,A2 -,7,Masculino
reading,A2,11,Masculino
reading,A2 +,12,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,4,Masculino
listening,A1,4,Masculino
listening,A1 +,8,Masculino
listening,A2 -,6,Masculino
listening,A2,10,Masculino
listening,A2 +,7,Masculino
speak 1,Pre - A1,22,Femenino
speak 1,A1,1,Femenino
speak 1,A2,0,Femenino
speak 2,Pre - A1,22,Femenino
speak 2,A1,1,Femenino
speak 2,A2,0,Femenino
reading,Pre - A1,0,Femenino
reading,A1 -,1,Femenino
reading,A1,2,Femenino
reading,A1 +,1,Femenino
reading,A2 -,3,Femenino
reading,A2,6,Femenino
reading,A2 +,10,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,2,Femenino
listening,A1,3,Femenino
listening,A1 +,3,Femenino
listening,A2 -,4,Femenino
listening,A2,8,Femenino
listening,A2 +,3,Femenino
