Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,5,Masculino
speak 1,A1,16,Masculino
speak 1,A2,2,Masculino
speak 2,Pre - A1,2,Masculino
speak 2,A1,19,Masculino
speak 2,A2,2,Masculino
reading,Pre - A1,2,Masculino
reading,A1 -,2,Masculino
reading,A1,6,Masculino
reading,A1 +,6,Masculino
reading,A2 -,3,Masculino
reading,A2,3,Masculino
reading,A2 +,0,Masculino
listening,Pre - A1,1,Masculino
listening,A1 -,0,Masculino
listening,A1,6,Masculino
listening,A1 +,9,Masculino
listening,A2 -,3,Masculino
listening,A2,3,Masculino
listening,A2 +,1,Masculino
speak 1,Pre - A1,3,Femenino
speak 1,A1,18,Femenino
speak 1,A2,3,Femenino
speak 2,Pre - A1,2,Femenino
speak 2,A1,21,Femenino
speak 2,A2,1,Femenino
reading,Pre - A1,3,Femenino
reading,A1 -,6,Femenino
reading,A1,4,Femenino
reading,A1 +,4,Femenino
reading,A2 -,6,Femenino
reading,A2,1,Femenino
reading,A2 +,0,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,1,Femenino
listening,A1,11,Femenino
listening,A1 +,6,Femenino
listening,A2 -,4,Femenino
listening,A2,2,Femenino
listening,A2 +,0,Femenino
