Porcentaje de error de revisores,Frecuencia
22.25,3
35.0,3
31.75,3
40.5,3
16.25,2
31.25,2
35.75,2
41.0,2
20.5,2
32.0,2
60.25,2
26.25,2
10.75,2
35.5,1
55.5,1
60.5,1
53.5,1
34.75,1
37.75,1
52.5,1
34.0,1
50.25,1
42.25,1
47.25,1
36.75,1
20.0,1
36.0,1
7.25,1
11.0,1
44.25,1
45.5,1
17.0,1
29.75,1
38.75,1
15.25,1
4.5,1
25.0,1
56.0,1
47.75,1
57.0,1
23.25,1
64.0,1
11.75,1
44.5,1
49.5,1
21.75,1
21.25,1
10.25,1
37.25,1
49.75,1
42.0,1
33.25,1
13.25,1
5.0,1
28.0,1
24.5,1
26.5,1
66.25,1
65.75,1
18.25,1
54.75,1
12.25,1
26.75,1
20.75,1
39.25,1
15.5,1
2.0,1
2.5,1
9.5,1
46.5,1
31.5,1
55.25,1
39.0,1
57.5,1
18.0,1
17.75,1
33.5,1
27.75,1
39.5,1
55.0,1
27.5,1
