Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,1702,11
speak 1,A1,2453,11
speak 1,A2,1188,11
speak 2,Pre - A1,1631,11
speak 2,A1,2538,11
speak 2,A2,1174,11
reading,Pre - A1,347,11
reading,A1 -,392,11
reading,A1,835,11
reading,A1 +,835,11
reading,A2 -,1052,11
reading,A2,1199,11
reading,A2 +,644,11
listening,Pre - A1,122,11
listening,A1 -,616,11
listening,A1,1111,11
listening,A1 +,1358,11
listening,A2 -,735,11
listening,A2,821,11
listening,A2 +,556,11
speak 1,Pre - A1,282,10
speak 1,A1,395,10
speak 1,A2,163,10
speak 2,Pre - A1,268,10
speak 2,A1,423,10
speak 2,A2,149,10
reading,Pre - A1,56,10
reading,A1 -,65,10
reading,A1,146,10
reading,A1 +,140,10
reading,A2 -,165,10
reading,A2,170,10
reading,A2 +,97,10
listening,Pre - A1,15,10
listening,A1 -,112,10
listening,A1,192,10
listening,A1 +,217,10
listening,A2 -,106,10
listening,A2,119,10
listening,A2 +,75,10
speak 1,Pre - A1,44,12
speak 1,A1,54,12
speak 1,A2,15,12
speak 2,Pre - A1,45,12
speak 2,A1,52,12
speak 2,A2,16,12
reading,Pre - A1,15,12
reading,A1 -,7,12
reading,A1,22,12
reading,A1 +,23,12
reading,A2 -,20,12
reading,A2,12,12
reading,A2 +,14,12
listening,Pre - A1,3,12
listening,A1 -,21,12
listening,A1,23,12
listening,A1 +,26,12
listening,A2 -,20,12
listening,A2,12,12
listening,A2 +,7,12
speak 1,Pre - A1,3,13
speak 1,A1,2,13
speak 1,A2,0,13
speak 2,Pre - A1,3,13
speak 2,A1,2,13
speak 2,A2,0,13
reading,Pre - A1,0,13
reading,A1 -,0,13
reading,A1,1,13
reading,A1 +,2,13
reading,A2 -,1,13
reading,A2,0,13
reading,A2 +,1,13
listening,Pre - A1,0,13
listening,A1 -,1,13
listening,A1,2,13
listening,A1 +,0,13
listening,A2 -,0,13
listening,A2,0,13
listening,A2 +,2,13
