Escuela,Porcentaje promedio de errores
"MIGUEL HIDALGO 
 28DPR1340H",50.32
"EL CHAMIZAL 
 28DPR1427M",43.33
"JUSTO SIERRA 
 28DPR1454J",38.09
"EMILIANO ZAPATA 
 28DPR1412K",37.14
"MIGUEL HIDALGO 
 28DPR1748W",29.39
"PROFA. JUANA MARIA CABRERA SALINAS 
 28DPR2334D",28.16
"PROF. EUTIMIO MARTINEZ LARA 
 28DPR0513B",27.53
"ARMANDO BARBA 
 28DPR1343E",24.98
"DR. NORBERTO TREVIÑO ZAPATA 
 28DPR1045F",23.96
"ARTEMIO VILLAFAÑA PADILLA 
 28DPR2182P",22.02
"MIGUEL HIDALGO 
 28DPR0829Z",20.55
"JOSE VASCONCELOS 
 28DPR2098R",19.93
"NIÑOS HEROES 
 28DPR1344D",19.41
"GRAL. EMILIANO ZAPATA 
 28DPR1433X",18.74
"DISTRIBUIDORES NISSAN NUM. 37 
 28DPR2463Y",15.77
"IGNACIO LOPEZ RAYON 
 28DPR2164Z",15.4
"ALBERTO CARRERA TORRES 
 28DPR2064A",14.44
"GRAL. CESAR LOPEZ DE LARA 
 28DPR1817B",12.92
"MOCTEZUMA 
 28DPR2452S",12.38
"GERARDO GOMEZ CASTILLO 
 28DPR1414I",12.34
"HIMNO NACIONAL 
 28DPR1130C",10.12
"MARGARITA MAZA DE JUAREZ 
 28DPR1505Z",9.82
"CLUB DE LEONES 
 28DPR1142H",9.08
"CLUB ROTARIO 
 28DPR1143G",8.7
"MAGDALENO AGUILAR 
 28DPR0979G",7.56
"ARTICULO 27 CONSTITUCIONAL 
 28DPR0806P",6.75
"MIGUEL HIDALGO 
 28DPR0774N",6.06
"20 DE NOVIEMBRE 
 28DPR2562Y",6.02
"ENRIQUE C. REBSAMEN 
 28DPR1139U",5.8
"FELIPE ANGELES 
 28DPR2081R",4.77
"LIC. EMILIO PORTES GIL 
 28DPR1593K",3.76
"PROF. CLEMENTE RIVERA MOCTEZUMA 
 28DPR2461Z",3.64
"ELVIRA SALDAÑA MORALES 
 28DPR2274F",3.5
"FELIPE CARRILLO PUERTO 
 28DPR1403C",3.08
"NUEVO SANTANDER 
 28DPR2377B",3.08
"JUAN B. TIJERINA 
 28DPR1125R",2.77
"PROFA. AURELIA GARCIA RODRIGUEZ 
 28DPR1332Z",2.68
"PROFA. MA. GUADALUPE GARCIA GARCIA 
 28DPR0283Z",2.65
"SIMON BOLIVAR 
 28DPR0039O",2.61
"PROFA. MARIA GUADALUPE JAIME GARZA 
 28DPR2422Y",2.61
"FORD NUM. 16 
 28DPR0754Z",2.48
"LEONA VICARIO 
 28DPR1169O",2.36
"RAUL FLORES GARCIA 
 28DPR2381O",2.25
"LIC. LUIS DONALDO COLOSIO MURRIETA 
 28DPR2239Z",2.18
"LA CORREGIDORA 
 28DPR1173A",2.05
"ANTONIO ALVAREZ BERRONES 
 28DPR1121V",2.02
"VENUSTIANO CARRANZA 
 28DPR1686Z",1.94
"PROF. JOSE MARTINEZ Y MARTINEZ 
 28DPR0074U",1.94
"ARTICULO 3 CONSTITUCIONAL 
 28DPR2045M",1.85
"IGNACIO JOSE ALLENDE 
 28DPR2149H",1.25
