Top,Escuela,Porcentaje de aciertos correctos,Porcentaje de aciertos correctos para la sección Listening,Porcentaje de aciertos correctos para la sección Reading/Writing,Porcentaje de aciertos correctos para la sección Speaking parte 1,Porcentaje de aciertos correctos para la sección Speaking parte 2,Porcentaje de aciertos correctos para la sección Speaking,Calificación promedio en los exámenes para la sección Listening,Calificación promedio en los exámenes para la sección Reading/Writing,Calificación promedio en los exámenes para la sección Speaking parte 1,Calificación promedio en los exámenes para la sección Speaking parte 2,Calificación promedio en los exámenes para la sección Speaking,Promedio de aciertos en los exámenes para la sección Listening,Promedio de aciertos en los exámenes para la sección Reading/Writing,Promedio de aciertos en los exámenes para la sección Speaking parte 1,Promedio de aciertos en los exámenes para la sección Speaking parte 2,Promedio de aciertos en los exámenes para la sección Speaking
1,LEONA VICARIO - 28DPR1169O,76.25,80.0,80.0,75.0,62.5,68.75,A2,A2 -,A2,A2,A2,20,32,6,5,5
2,ENRIQUE C. REBSAMEN - 28DPR0085Z,75.83,80.0,85.0,62.5,62.5,62.5,A2,A2,A2,A2,A2,20,34,5,5,5
3,CLUB ROTARIO MATAMOROS NUM. 84 - 28DPR2410T,73.5,68.0,77.5,75.0,75.0,75.0,A2 -,A2 -,A2,A2,A2,17,31,6,6,6
4,NACIONES UNIDAS - 28DPR1879O,71.17,76.0,75.0,62.5,62.5,62.5,A2 -,A1 +,A2,A2,A2,19,30,5,5,5
5,ORALIA GUERRA DE VILLARREAL - 28DPR2173H,69.67,64.0,82.5,62.5,62.5,62.5,A1 +,A2 -,A2,A2,A2,16,33,5,5,5
6,EMILIANO ZAPATA - 28DPR1412K,69.58,80.0,72.5,62.5,50.0,56.25,A2,A1 +,A2,A1,A1,20,29,5,4,4
7,PROF. FRANCISCO NICODEMO - 28DPR0770R,69.5,76.0,82.5,50.0,50.0,50.0,A2 -,A2 -,A1,A1,A1,19,33,4,4,4
8,ARTICULO 3 CONSTITUCIONAL - 28DPR2045M,67.5,80.0,85.0,37.5,37.5,37.5,A2,A2,A1,A1,A1,20,34,3,3,3
9,ARMANDO BARBA - 28DPR1343E,67.5,80.0,72.5,50.0,50.0,50.0,A2,A1 +,A1,A1,A1,20,29,4,4,4
10,PROFA. MA. GUADALUPE GARCIA GARCIA - 28DPR0283Z,66.58,76.0,80.0,37.5,50.0,43.75,A2 -,A2 -,A1,A1,A1,19,32,3,4,4
11,MODELO - 28DPR0477N,66.5,72.0,77.5,50.0,50.0,50.0,A2 -,A2 -,A1,A1,A1,18,31,4,4,4
12,PROFA. MARIA GUADALUPE JAIME GARZA - 28DPR2422Y,64.92,76.0,75.0,50.0,37.5,43.75,A2 -,A1 +,A1,A1,A1,19,30,4,3,4
13,MIGUEL HIDALGO - 28DPR0774N,64.33,68.0,75.0,50.0,50.0,50.0,A2 -,A1 +,A1,A1,A1,17,30,4,4,4
14,NACIONES UNIDAS - 28DPR1892I,63.67,76.0,77.5,37.5,37.5,37.5,A2 -,A2 -,A1,A1,A1,19,31,3,3,3
15,CARLOS A. CARRILLO - 28DPR1826J,63.67,76.0,77.5,37.5,37.5,37.5,A2 -,A2 -,A1,A1,A1,19,31,3,3,3
16,GRAL. LAZARO CARDENAS DEL RIO - 28DPR1283G,62.58,84.0,85.0,25.0,12.5,18.75,A2,A2,A1,A1,A1,21,34,2,1,2
17,CUAUHTEMOC - 28DPR0461M,61.75,64.0,65.0,62.5,50.0,56.25,A1 +,A1 +,A2,A1,A1,16,26,5,4,4
18,GERARDO GOMEZ CASTILLO - 28DPR1414I,61.42,68.0,72.5,50.0,37.5,43.75,A2 -,A1 +,A1,A1,A1,17,29,4,3,4
19,MIGUEL HIDALGO - 28DPR0829Z,60.58,68.0,70.0,37.5,50.0,43.75,A2 -,A1 +,A1,A1,A1,17,28,3,4,3
20,PROFA. AURELIA GARCIA RODRIGUEZ - 28DPR1332Z,60.25,72.0,77.5,37.5,25.0,31.25,A2 -,A2 -,A1,A1,A1,18,31,3,2,3
21,CLUB DE LEONES - 28DPR1142H,60.17,68.0,75.0,37.5,37.5,37.5,A2 -,A1 +,A1,A1,A1,17,30,3,3,3
