Porcentaje de error de revisores,Frecuencia
0.0,846
1.25,421
2.0,342
2.5,288
3.25,204
4.5,145
4.0,116
3.75,99
5.25,85
6.5,60
5.75,54
6.0,47
5.0,41
7.25,40
10.0,37
8.0,31
9.25,28
7.75,27
7.0,27
6.25,26
8.5,25
8.25,22
7.5,20
15.25,19
1.0,19
12.0,19
12.5,19
13.25,18
10.5,17
11.25,17
17.0,16
16.5,15
14.5,15
0.62,15
26.5,15
20.0,14
17.25,14
2.25,14
17.75,14
3.0,14
28.5,13
16.25,13
13.75,13
9.0,13
21.25,13
11.75,13
11.0,12
13.0,12
31.75,12
25.75,12
9.75,12
2.62,12
18.5,12
23.25,11
22.0,11
3.12,11
19.25,11
28.0,11
17.5,11
9.5,10
56.0,10
18.25,10
36.0,10
46.25,10
29.0,10
10.75,10
14.0,10
24.5,10
20.25,10
27.0,10
35.75,10
23.75,10
12.25,10
59.75,10
20.5,10
19.75,10
33.0,9
42.0,9
25.0,9
21.0,9
45.0,9
58.5,9
48.75,9
3.5,9
41.0,9
33.25,9
57.25,9
31.25,9
21.5,9
42.25,9
23.5,9
34.0,9
38.75,9
40.5,9
54.75,8
34.75,8
59.0,8
15.5,8
45.75,8
30.25,8
53.25,8
15.75,8
1.88,8
31.0,8
44.0,8
62.75,8
45.25,8
10.25,8
33.5,8
47.5,8
39.5,8
53.75,8
32.75,7
68.75,7
32.5,7
66.75,7
22.25,7
29.25,7
42.5,7
19.0,7
42.75,7
8.75,7
38.0,7
37.25,7
25.5,7
54.0,7
15.0,7
50.75,7
40.25,7
16.0,7
45.5,7
26.0,7
52.5,7
39.0,7
22.5,7
47.75,7
18.0,7
20.75,7
4.25,7
50.25,7
48.0,7
29.75,7
56.75,7
49.25,6
43.75,6
44.75,6
61.0,6
19.5,6
51.0,6
59.25,6
22.75,6
46.0,6
13.5,6
55.75,6
65.75,6
27.75,6
37.5,6
26.75,6
47.25,6
63.75,6
39.25,6
61.75,6
43.25,6
55.25,6
23.0,6
69.5,6
38.25,6
24.75,6
36.5,6
26.25,6
47.0,6
48.5,6
44.25,6
5.62,5
56.25,5
41.25,5
30.0,5
37.0,5
62.5,5
58.25,5
58.75,5
44.5,5
52.25,5
61.25,5
35.5,5
30.75,5
55.5,5
55.0,5
35.0,5
53.0,5
14.75,5
64.75,5
51.25,5
54.25,5
57.0,5
5.5,5
51.75,5
32.25,5
12.75,5
24.0,5
49.5,5
32.0,5
11.5,5
63.0,5
21.75,5
56.5,5
71.25,4
49.75,4
38.5,4
3.62,4
40.0,4
57.75,4
29.5,4
50.0,4
52.75,4
68.5,4
70.75,4
27.5,4
4.62,4
53.5,4
41.5,4
33.75,4
46.5,4
51.5,4
35.25,4
28.75,4
37.75,4
41.75,4
60.75,4
75.25,4
60.5,4
40.75,4
50.5,4
59.5,4
61.5,4
43.5,4
52.0,4
36.75,4
14.25,4
1.62,4
46.75,4
36.25,4
72.75,4
30.5,3
34.5,3
25.25,3
5.12,3
66.0,3
3.88,3
63.25,3
58.0,3
73.5,3
43.0,3
4.38,3
80.0,3
34.25,3
72.5,3
18.75,3
68.0,3
72.25,3
76.5,3
74.0,3
57.5,3
65.5,3
71.5,3
60.0,3
77.25,3
4.75,3
69.25,3
39.75,3
62.25,3
64.25,3
28.25,3
6.88,3
31.5,3
60.25,3
68.25,3
64.0,3
71.75,3
16.75,3
48.25,2
74.75,2
73.75,2
2.88,2
82.5,2
6.75,2
8.62,2
6.62,2
78.5,2
70.0,2
70.25,2
79.25,2
71.0,2
24.25,2
67.25,2
66.25,2
81.5,2
6.38,2
87.0,2
54.5,2
63.5,2
65.25,2
27.25,2
78.75,1
89.75,1
49.0,1
9.38,1
15.88,1
17.62,1
80.75,1
76.75,1
70.5,1
80.5,1
83.25,1
82.75,1
84.5,1
77.0,1
67.75,1
7.12,1
66.5,1
10.62,1
62.0,1
76.25,1
92.25,1
12.38,1
7.62,1
16.62,1
19.12,1
94.25,1
81.75,1
74.25,1
85.5,1
82.0,1
91.75,1
25.88,1
10.12,1
8.38,1
10.38,1
87.75,1
69.0,1
64.5,1
91.5,1
65.0,1
72.0,1
81.25,1
84.25,1
79.75,1
77.5,1
76.0,1
89.0,1
78.25,1
15.12,1
7.88,1
75.75,1
