Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,20,Masculino
speak 1,A1,52,Masculino
speak 1,A2,23,Masculino
speak 2,Pre - A1,28,Masculino
speak 2,A1,49,Masculino
speak 2,A2,18,Masculino
reading,Pre - A1,6,Masculino
reading,A1 -,7,Masculino
reading,A1,18,Masculino
reading,A1 +,9,Masculino
reading,A2 -,23,Masculino
reading,A2,21,Masculino
reading,A2 +,11,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,5,Masculino
listening,A1,19,Masculino
listening,A1 +,32,Masculino
listening,A2 -,17,Masculino
listening,A2,17,Masculino
listening,A2 +,5,Masculino
speak 1,Pre - A1,15,Femenino
speak 1,A1,53,Femenino
speak 1,A2,21,Femenino
speak 2,Pre - A1,14,Femenino
speak 2,A1,53,Femenino
speak 2,A2,22,Femenino
reading,Pre - A1,3,Femenino
reading,A1 -,0,Femenino
reading,A1,9,Femenino
reading,A1 +,18,Femenino
reading,A2 -,19,Femenino
reading,A2,23,Femenino
reading,A2 +,17,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,4,Femenino
listening,A1,14,Femenino
listening,A1 +,32,Femenino
listening,A2 -,17,Femenino
listening,A2,15,Femenino
listening,A2 +,7,Femenino
