Top,Escuela,Porcentaje de aciertos correctos,Porcentaje de aciertos correctos para la sección Listening,Porcentaje de aciertos correctos para la sección Reading/Writing,Porcentaje de aciertos correctos para la sección Speaking parte 1,Porcentaje de aciertos correctos para la sección Speaking parte 2,Porcentaje de aciertos correctos para la sección Speaking,Calificación promedio en los exámenes para la sección Listening,Calificación promedio en los exámenes para la sección Reading/Writing,Calificación promedio en los exámenes para la sección Speaking parte 1,Calificación promedio en los exámenes para la sección Speaking parte 2,Calificación promedio en los exámenes para la sección Speaking,Promedio de aciertos en los exámenes para la sección Listening,Promedio de aciertos en los exámenes para la sección Reading/Writing,Promedio de aciertos en los exámenes para la sección Speaking parte 1,Promedio de aciertos en los exámenes para la sección Speaking parte 2,Promedio de aciertos en los exámenes para la sección Speaking
1,PROFA. MARIA GUADALUPE JAIME GARZA - 28DPR2422Y,64.92,76.0,75.0,50.0,37.5,43.75,A2 -,A1 +,A1,A1,A1,19,30,4,3,4
2,PROF. JUAN CAMACHO CERVANTES - 28DPR1400F,63.83,64.0,65.0,62.5,62.5,62.5,A1 +,A1 +,A2,A2,A2,16,26,5,5,5
3,PROF. CLEMENTE RIVERA MOCTEZUMA - 28DPR2461Z,61.92,72.0,70.0,50.0,37.5,43.75,A2 -,A1 +,A1,A1,A1,18,28,4,3,3
4,ALVARO OBREGON - 28DPR2021C,59.0,72.0,67.5,37.5,37.5,37.5,A2 -,A1 +,A1,A1,A1,18,27,3,3,3
5,FRANCISCO I. MADERO - 28DPR1094O,55.5,64.0,65.0,37.5,37.5,37.5,A1 +,A1 +,A1,A1,A1,16,26,3,3,3
6,NUEVO SANTANDER - 28DPR2377B,55.33,56.00000000000001,60.0,50.0,50.0,50.0,A1 +,A1,A1,A1,A1,14,24,4,4,4
7,MARTIRES DE LA REVOLUCION - 28DPR0834L,54.08,56.00000000000001,62.5,37.5,50.0,43.75,A1 +,A1 +,A1,A1,A1,14,25,3,4,3
8,MARTIRES DE LA REVOLUCION - 28DPR1066S,51.17,56.00000000000001,60.0,37.5,37.5,37.5,A1 +,A1,A1,A1,A1,14,24,3,3,3
9,20 DE NOVIEMBRE - 28DPR2562Y,47.42,56.00000000000001,67.5,12.5,25.0,18.75,A1 +,A1 +,A1,A1,A1,14,27,1,2,2
10,DIANA LAURA RIOJAS DE COLOSIO - 28DPR2310U,35.58,48.0,52.5,0.0,12.5,6.25,A1,A1,Pre - A1,A1,Pre - A1,12,21,0,1,0
