Porcentaje de error de revisores,Frecuencia
0.0,110
2.5,65
1.25,61
2.0,49
3.25,41
3.75,27
6.5,24
4.5,23
5.75,20
5.25,16
4.0,13
5.0,11
7.0,11
10.5,9
7.25,9
9.0,8
8.5,8
6.0,6
6.25,6
10.0,6
9.25,5
12.5,5
11.0,5
8.0,5
14.0,5
7.5,5
14.5,5
11.25,4
11.75,4
13.75,3
12.75,3
8.75,3
16.25,3
9.5,2
13.5,2
9.75,2
60.0,2
19.25,2
17.25,2
15.0,2
13.0,2
20.5,2
13.25,2
16.0,2
15.5,2
8.25,2
7.75,2
12.25,2
59.0,1
27.0,1
12.0,1
68.75,1
55.75,1
68.0,1
50.25,1
58.0,1
59.25,1
20.25,1
11.5,1
17.75,1
33.0,1
30.0,1
19.75,1
24.0,1
25.25,1
14.75,1
18.5,1
16.5,1
15.25,1
18.25,1
37.25,1
10.25,1
21.5,1
23.0,1
18.0,1
18.75,1
21.75,1
