Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,78,Masculino
speak 1,A1,87,Masculino
speak 1,A2,68,Masculino
speak 2,Pre - A1,83,Masculino
speak 2,A1,84,Masculino
speak 2,A2,66,Masculino
reading,Pre - A1,8,Masculino
reading,A1 -,10,Masculino
reading,A1,29,Masculino
reading,A1 +,28,Masculino
reading,A2 -,54,Masculino
reading,A2,63,Masculino
reading,A2 +,40,Masculino
listening,Pre - A1,1,Masculino
listening,A1 -,22,Masculino
listening,A1,39,Masculino
listening,A1 +,60,Masculino
listening,A2 -,29,Masculino
listening,A2,53,Masculino
listening,A2 +,29,Masculino
speak 1,Pre - A1,85,Femenino
speak 1,A1,82,Femenino
speak 1,A2,75,Femenino
speak 2,Pre - A1,76,Femenino
speak 2,A1,91,Femenino
speak 2,A2,75,Femenino
reading,Pre - A1,5,Femenino
reading,A1 -,3,Femenino
reading,A1,15,Femenino
reading,A1 +,25,Femenino
reading,A2 -,48,Femenino
reading,A2,88,Femenino
reading,A2 +,58,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,7,Femenino
listening,A1,30,Femenino
listening,A1 +,56,Femenino
listening,A2 -,43,Femenino
listening,A2,59,Femenino
listening,A2 +,47,Femenino
