Porcentaje de error de revisores,Frecuencia
0.0,87
2.0,47
1.25,35
3.25,24
4.0,23
2.5,18
4.5,12
3.75,11
5.25,11
3.0,10
1.0,8
5.0,4
8.0,4
6.0,4
6.5,4
7.25,3
3.5,3
1.88,3
66.0,3
53.25,3
57.25,3
6.25,3
9.25,2
22.5,2
63.0,2
28.0,2
20.25,2
57.75,2
0.62,2
58.5,2
76.5,2
52.5,2
7.5,2
5.75,2
59.0,2
56.25,2
51.25,2
30.0,2
2.62,2
14.5,2
48.75,2
10.0,2
30.25,2
7.75,2
48.0,2
9.5,2
56.75,2
49.0,1
25.75,1
5.5,1
7.0,1
10.5,1
18.25,1
3.12,1
47.75,1
23.5,1
55.0,1
12.5,1
19.25,1
40.75,1
6.62,1
49.25,1
75.25,1
58.75,1
73.5,1
58.25,1
72.25,1
59.5,1
43.5,1
50.75,1
12.0,1
52.0,1
50.0,1
23.75,1
22.75,1
64.75,1
63.25,1
45.75,1
48.25,1
72.5,1
45.25,1
44.25,1
54.0,1
63.75,1
44.0,1
22.25,1
61.75,1
33.5,1
46.0,1
68.0,1
46.25,1
58.0,1
15.5,1
66.75,1
19.0,1
5.12,1
4.62,1
5.62,1
1.62,1
54.75,1
9.38,1
47.5,1
16.5,1
31.0,1
4.25,1
37.25,1
60.0,1
69.5,1
46.75,1
62.75,1
52.25,1
61.5,1
62.25,1
17.62,1
4.75,1
2.25,1
37.0,1
32.75,1
29.0,1
38.0,1
56.5,1
42.75,1
32.0,1
60.5,1
14.75,1
55.75,1
43.25,1
17.0,1
45.5,1
25.5,1
13.5,1
47.25,1
71.5,1
51.75,1
51.0,1
47.0,1
61.25,1
71.25,1
23.25,1
26.5,1
33.25,1
13.0,1
