Escuela,Porcentaje promedio de errores
"PROF. EUTIMIO MARTINEZ LARA 
 28DPR0513B",27.53
"JOSE VASCONCELOS 
 28DPR2098R",19.93
"DISTRIBUIDORES NISSAN NUM. 37 
 28DPR2463Y",15.77
"IGNACIO LOPEZ RAYON 
 28DPR2164Z",15.4
"HIMNO NACIONAL 
 28DPR1130C",10.12
"CLUB DE LEONES 
 28DPR1142H",9.08
"CLUB ROTARIO 
 28DPR1143G",8.7
"ENRIQUE C. REBSAMEN 
 28DPR1139U",5.8
"LIC. EMILIO PORTES GIL 
 28DPR1593K",3.76
"LAZARO CARDENAS DEL RIO 
 28DPR2143N",3.53
"ELVIRA SALDAÑA MORALES 
 28DPR2274F",3.5
"JUAN B. TIJERINA 
 28DPR1125R",2.77
"SIMON BOLIVAR 
 28DPR0039O",2.61
"LEONA VICARIO 
 28DPR1169O",2.36
"LIC. LUIS DONALDO COLOSIO MURRIETA 
 28DPR2239Z",2.18
"LA CORREGIDORA 
 28DPR1173A",2.05
"ANTONIO ALVAREZ BERRONES 
 28DPR1121V",2.02
"VENUSTIANO CARRANZA 
 28DPR1686Z",1.94
"PROF. JOSE MARTINEZ Y MARTINEZ 
 28DPR0074U",1.94
"IGNACIO JOSE ALLENDE 
 28DPR2149H",1.25
