Porcentaje de error de revisores,Frecuencia
0.0,263
1.25,152
2.5,112
2.0,93
3.25,59
4.5,38
4.0,31
3.75,29
5.25,19
5.75,16
6.5,15
10.0,12
7.25,10
7.0,10
7.75,8
3.12,8
5.0,8
16.5,7
9.25,7
17.0,6
10.5,6
6.0,6
29.0,5
13.75,5
28.5,5
8.0,5
15.25,5
8.25,5
12.5,5
22.0,4
21.25,4
8.75,4
17.5,4
6.25,4
24.5,4
15.75,3
19.75,3
16.25,3
13.25,3
23.25,3
18.25,3
10.25,3
40.25,3
28.75,3
14.5,3
8.5,3
21.0,3
11.0,3
25.75,2
24.0,2
13.5,2
11.75,2
7.5,2
20.5,2
82.5,2
18.5,2
22.25,2
27.75,2
14.75,2
12.0,2
11.25,2
34.0,2
15.0,2
25.0,2
9.0,2
21.75,2
20.25,2
30.5,2
12.25,2
3.88,2
29.25,2
13.0,2
73.75,2
31.0,2
21.5,2
68.75,2
35.75,2
45.25,2
19.5,2
22.75,2
30.25,1
62.5,1
32.75,1
46.25,1
24.25,1
36.75,1
58.75,1
28.0,1
51.0,1
43.5,1
65.75,1
83.25,1
18.0,1
58.25,1
76.5,1
34.5,1
79.25,1
74.0,1
0.62,1
7.12,1
20.0,1
80.75,1
17.25,1
50.75,1
14.0,1
54.25,1
59.75,1
49.25,1
76.75,1
19.0,1
37.75,1
9.75,1
55.5,1
38.0,1
1.88,1
4.38,1
14.25,1
70.5,1
26.5,1
37.25,1
27.25,1
38.25,1
43.25,1
23.5,1
25.5,1
42.25,1
6.38,1
44.0,1
38.75,1
51.5,1
33.75,1
32.5,1
31.25,1
12.38,1
7.62,1
48.0,1
42.0,1
26.25,1
33.0,1
22.5,1
48.75,1
44.75,1
7.88,1
10.75,1
58.0,1
12.75,1
25.25,1
32.0,1
41.75,1
37.5,1
41.25,1
35.0,1
56.0,1
39.5,1
24.75,1
52.25,1
27.0,1
29.75,1
