Escuela,Porcentaje promedio de errores
"GRAL. LAZARO CARDENAS DEL RIO 
 28DPR1283G",57.37
"NACIONES UNIDAS 
 28DPR1879O",46.28
"NIÑOS HEROES 
 28DPR1492M",42.0
"GRAL. LAZARO CARDENAS DEL RIO 
 28DPR1807V",38.75
"MODELO 
 28DPR0477N",36.91
"CUAUHTEMOC 
 28DPR0461M",34.99
"PROFA. JULIA GARCIA ECHAVARRIA 
 28DPR2337A",21.2
"TAMAULIPAS 
 28DPR0636L",14.78
"ORALIA GUERRA DE VILLARREAL 
 28DPR2173H",14.64
"RAMON LOPEZ VELARDE 
 28DPR2160D",7.75
"FRANKLIN D. ROOSEVELT 
 28DPR0456A",4.54
"PROF. IGNACIO AGUILAR HERNANDEZ 
 28DPR2391V",3.24
"JOSEFINA MENCHACA 
 28DPR0489S",3.02
"PROF. Y LIC. SANTOS VALLE CARDONA 
 28DPR2390W",2.93
"CLUB ROTARIO MATAMOROS NUM. 84 
 28DPR2410T",2.42
"PROF. CRUZ LINO MARQUEZ 
 28DPR2300N",1.66
"PROF. ERNESTO GUAJARDO SALINAS 
 28DPR2271I",1.66
