Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,327,11
speak 1,A1,197,11
speak 1,A2,139,11
speak 2,Pre - A1,313,11
speak 2,A1,215,11
speak 2,A2,135,11
reading,Pre - A1,59,11
reading,A1 -,54,11
reading,A1,99,11
reading,A1 +,104,11
reading,A2 -,114,11
reading,A2,147,11
reading,A2 +,79,11
listening,Pre - A1,19,11
listening,A1 -,79,11
listening,A1,133,11
listening,A1 +,143,11
listening,A2 -,92,11
listening,A2,100,11
listening,A2 +,94,11
speak 1,Pre - A1,56,10
speak 1,A1,38,10
speak 1,A2,18,10
speak 2,Pre - A1,53,10
speak 2,A1,45,10
speak 2,A2,14,10
reading,Pre - A1,11,10
reading,A1 -,9,10
reading,A1,24,10
reading,A1 +,17,10
reading,A2 -,20,10
reading,A2,24,10
reading,A2 +,7,10
listening,Pre - A1,4,10
listening,A1 -,12,10
listening,A1,27,10
listening,A1 +,26,10
listening,A2 -,15,10
listening,A2,20,10
listening,A2 +,8,10
speak 1,Pre - A1,9,12
speak 1,A1,3,12
speak 1,A2,2,12
speak 2,Pre - A1,9,12
speak 2,A1,3,12
speak 2,A2,2,12
reading,Pre - A1,2,12
reading,A1 -,1,12
reading,A1,2,12
reading,A1 +,4,12
reading,A2 -,2,12
reading,A2,2,12
reading,A2 +,1,12
listening,Pre - A1,1,12
listening,A1 -,2,12
listening,A1,2,12
listening,A1 +,3,12
listening,A2 -,3,12
listening,A2,1,12
listening,A2 +,2,12
