Top,Escuela,Porcentaje de aciertos correctos,Porcentaje de aciertos correctos para la sección Listening,Porcentaje de aciertos correctos para la sección Reading/Writing,Porcentaje de aciertos correctos para la sección Speaking parte 1,Porcentaje de aciertos correctos para la sección Speaking parte 2,Porcentaje de aciertos correctos para la sección Speaking,Calificación promedio en los exámenes para la sección Listening,Calificación promedio en los exámenes para la sección Reading/Writing,Calificación promedio en los exámenes para la sección Speaking parte 1,Calificación promedio en los exámenes para la sección Speaking parte 2,Calificación promedio en los exámenes para la sección Speaking,Promedio de aciertos en los exámenes para la sección Listening,Promedio de aciertos en los exámenes para la sección Reading/Writing,Promedio de aciertos en los exámenes para la sección Speaking parte 1,Promedio de aciertos en los exámenes para la sección Speaking parte 2,Promedio de aciertos en los exámenes para la sección Speaking
1,MODELO - 28DPR0477N,72.0,76.0,77.5,62.5,62.5,62.5,A2 -,A2 -,A2,A2,A2,19,31,5,5,5
2,CLUB ROTARIO MATAMOROS NUM. 84 - 28DPR2410T,71.42,68.0,77.5,62.5,75.0,68.75,A2 -,A2 -,A2,A2,A2,17,31,5,6,6
3,NACIONES UNIDAS - 28DPR1879O,71.17,76.0,75.0,62.5,62.5,62.5,A2 -,A1 +,A2,A2,A2,19,30,5,5,5
4,ORALIA GUERRA DE VILLARREAL - 28DPR2173H,66.67,60.0,77.5,62.5,62.5,62.5,A1 +,A2 -,A2,A2,A2,15,31,5,5,5
5,NIÑOS HEROES - 28DPR1492M,64.5,76.0,55.0,62.5,62.5,62.5,A2 -,A1,A2,A2,A2,19,22,5,5,5
6,GRAL. LAZARO CARDENAS DEL RIO - 28DPR1283G,64.42,72.0,77.5,50.0,37.5,43.75,A2 -,A2 -,A1,A1,A1,18,31,4,3,4
7,PLUTARCO ELIAS CALLES - 28DPR2005L,62.67,68.0,57.5,62.5,62.5,62.5,A2 -,A1,A2,A2,A2,17,23,5,5,5
8,CUAUHTEMOC - 28DPR0461M,61.75,64.0,65.0,62.5,50.0,56.25,A1 +,A1 +,A2,A1,A2,16,26,5,4,5
9,JOSEFINA MENCHACA - 28DPR0489S,59.92,56.00000000000001,67.5,50.0,62.5,56.25,A1 +,A1 +,A1,A2,A1,14,27,4,5,4
10,PROF. CRUZ LINO MARQUEZ - 28DPR2300N,55.42,60.0,75.0,37.5,25.0,31.25,A1 +,A1 +,A1,A1,A1,15,30,3,2,3
11,TAMAULIPAS - 28DPR0636L,52.75,72.0,67.5,12.5,25.0,18.75,A2 -,A1 +,A1,A1,A1,18,27,1,2,1
12,GRAL. LAZARO CARDENAS DEL RIO - 28DPR1807V,49.83,52.0,60.0,37.5,37.5,37.5,A1,A1,A1,A1,A1,13,24,3,3,3
13,PROF. IGNACIO AGUILAR HERNANDEZ - 28DPR2391V,49.67,64.0,72.5,12.5,12.5,12.5,A1 +,A1 +,A1,A1,A1,16,29,1,1,1
14,RODOLFO TORRE CANTU - 28DPR2587G,49.17,60.0,62.5,25.0,25.0,25.0,A1 +,A1 +,A1,A1,A1,15,25,2,2,2
15,FRANKLIN D. ROOSEVELT - 28DPR0456A,48.33,60.0,60.0,25.0,25.0,25.0,A1 +,A1,A1,A1,A1,15,24,2,2,2
16,FIDEL VELAZQUEZ - 28DPR0457Z,48.33,60.0,60.0,25.0,25.0,25.0,A1 +,A1,A1,A1,A1,15,24,2,2,2
17,RAMON LOPEZ VELARDE - 28DPR2160D,47.25,48.0,62.5,25.0,37.5,31.25,A1,A1 +,A1,A1,A1,12,25,2,3,2
18,PROF. ERNESTO GUAJARDO SALINAS - 28DPR2271I,47.0,56.00000000000001,60.0,25.0,25.0,25.0,A1 +,A1,A1,A1,A1,14,24,2,2,2
19,PROF. Y LIC. SANTOS VALLE CARDONA - 28DPR2390W,43.25,56.00000000000001,55.0,12.5,25.0,18.75,A1 +,A1,A1,A1,A1,14,22,1,2,1
20,PROFA. JULIA GARCIA ECHAVARRIA - 28DPR2337A,39.75,48.0,52.5,12.5,25.0,18.75,A1,A1,A1,A1,A1,12,21,1,2,1
