Porcentaje de error de revisores,Frecuencia
0.0,144
2.0,63
1.25,62
3.25,29
2.5,19
4.5,15
5.25,14
4.0,12
3.75,10
5.0,10
7.25,8
1.0,7
6.0,7
7.0,6
17.25,6
12.0,6
6.5,6
18.5,6
2.25,6
8.5,5
31.75,5
21.25,5
0.62,5
6.25,5
8.25,5
3.5,4
12.5,4
61.75,4
7.5,4
20.25,4
9.75,4
25.0,3
19.25,3
17.0,3
5.5,3
44.0,3
42.25,3
61.0,3
68.75,3
26.5,3
19.75,3
7.75,3
63.75,3
13.25,3
47.5,3
54.75,3
39.75,3
4.25,3
8.0,3
9.25,3
32.25,3
15.25,3
20.0,3
23.0,2
5.75,2
66.75,2
13.5,2
16.5,2
11.25,2
11.0,2
23.5,2
18.25,2
10.25,2
22.5,2
17.75,2
23.75,2
38.0,2
9.0,2
29.5,2
10.5,2
9.5,2
25.75,2
29.25,2
29.0,2
31.25,2
10.0,2
47.75,2
15.75,2
44.5,2
33.5,2
12.75,2
30.25,2
28.0,2
45.0,2
15.5,2
29.75,2
51.25,2
46.0,2
4.75,2
44.25,2
41.5,2
65.75,2
53.75,2
57.75,2
34.75,2
48.5,2
49.25,2
47.0,2
53.25,2
58.5,2
69.5,2
70.0,2
56.5,2
48.75,2
75.25,2
42.75,2
62.75,2
40.5,2
41.0,2
43.0,2
59.75,2
56.0,2
57.25,2
62.5,2
59.0,2
63.0,2
68.5,2
3.62,1
31.5,1
33.25,1
24.5,1
16.25,1
21.0,1
26.75,1
14.0,1
11.75,1
22.0,1
18.0,1
8.38,1
32.5,1
3.0,1
17.5,1
4.38,1
1.88,1
3.12,1
2.62,1
3.88,1
5.12,1
10.38,1
28.25,1
23.25,1
28.5,1
50.0,1
57.5,1
53.0,1
61.25,1
36.5,1
32.75,1
50.75,1
52.0,1
6.75,1
72.75,1
35.75,1
69.25,1
59.5,1
60.25,1
13.75,1
20.5,1
35.0,1
37.0,1
54.0,1
27.5,1
74.0,1
16.75,1
47.25,1
50.5,1
11.5,1
71.5,1
79.25,1
33.0,1
25.88,1
30.75,1
22.75,1
55.5,1
26.0,1
41.25,1
42.5,1
10.75,1
50.25,1
45.75,1
37.5,1
42.0,1
37.25,1
14.75,1
27.0,1
38.75,1
54.25,1
36.25,1
58.75,1
52.75,1
48.25,1
37.75,1
46.75,1
75.75,1
40.75,1
77.25,1
38.25,1
58.25,1
57.0,1
71.0,1
60.5,1
21.5,1
34.5,1
66.25,1
43.5,1
31.0,1
65.25,1
24.75,1
94.25,1
45.25,1
27.75,1
64.5,1
45.5,1
39.5,1
64.75,1
38.5,1
40.25,1
24.0,1
36.75,1
14.5,1
55.25,1
56.75,1
