Escuela,Porcentaje promedio de errores
"CORLA MA. DE JESUS DE LA ROSA 
 28DPR1372Z",67.75
"PROF. COSME PEREZ NUM. 2 
 28DPR0787R",57.97
"PROFA. EMMA PEREZ IBARRA 
 28DPR2415O",45.32
"PEDRO JOSE MENDEZ 
 28DPR2174G",39.56
"PROF. ALONSO BRICEÑO ROSALES 
 28DPR2363Z",34.98
"EUTIMIO RODRIGUEZ CABALLERO 
 28DPR2474D",33.45
"NACIONES UNIDAS 
 28DPR1892I",32.0
"MAURICIO GONZALEZ DE LA GARZA 
 28DPR2431F",29.64
"EMILIANO ZAPATA 
 28DPR1698E",23.78
"PROF. CECILIO JESUS CASTILLO CASTILLO 
 28DPR2439Y",23.29
"CARLOS A. CARRILLO 
 28DPR1826J",20.12
"LEYES DE REFORMA 
 28DPR1360V",15.08
"NOGAL NUM. 1 
 28DPR1377V",15.02
"FELIPE DURON ROBLES 
 28DPR2298P",9.1
"PROF. SANTOS GUZMAN TREVIÑO 
 28DPR0694B",2.26
