Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,126,Masculino
speak 1,A1,177,Masculino
speak 1,A2,66,Masculino
speak 2,Pre - A1,122,Masculino
speak 2,A1,181,Masculino
speak 2,A2,66,Masculino
reading,Pre - A1,23,Masculino
reading,A1 -,32,Masculino
reading,A1,66,Masculino
reading,A1 +,58,Masculino
reading,A2 -,62,Masculino
reading,A2,72,Masculino
reading,A2 +,53,Masculino
listening,Pre - A1,8,Masculino
listening,A1 -,52,Masculino
listening,A1,59,Masculino
listening,A1 +,103,Masculino
listening,A2 -,46,Masculino
listening,A2,47,Masculino
listening,A2 +,52,Masculino
speak 1,Pre - A1,131,Femenino
speak 1,A1,193,Femenino
speak 1,A2,86,Femenino
speak 2,Pre - A1,119,Femenino
speak 2,A1,212,Femenino
speak 2,A2,79,Femenino
reading,Pre - A1,21,Femenino
reading,A1 -,23,Femenino
reading,A1,61,Femenino
reading,A1 +,63,Femenino
reading,A2 -,86,Femenino
reading,A2,88,Femenino
reading,A2 +,67,Femenino
listening,Pre - A1,1,Femenino
listening,A1 -,30,Femenino
listening,A1,80,Femenino
listening,A1 +,109,Femenino
listening,A2 -,71,Femenino
listening,A2,57,Femenino
listening,A2 +,60,Femenino
