Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,190,11
speak 1,A1,79,11
speak 1,A2,44,11
speak 2,Pre - A1,182,11
speak 2,A1,93,11
speak 2,A2,38,11
reading,Pre - A1,22,11
reading,A1 -,22,11
reading,A1,50,11
reading,A1 +,58,11
reading,A2 -,59,11
reading,A2,63,11
reading,A2 +,38,11
listening,Pre - A1,2,11
listening,A1 -,33,11
listening,A1,60,11
listening,A1 +,89,11
listening,A2 -,47,11
listening,A2,42,11
listening,A2 +,40,11
speak 1,Pre - A1,33,10
speak 1,A1,9,10
speak 1,A2,4,10
speak 2,Pre - A1,35,10
speak 2,A1,6,10
speak 2,A2,5,10
reading,Pre - A1,2,10
reading,A1 -,3,10
reading,A1,5,10
reading,A1 +,11,10
reading,A2 -,8,10
reading,A2,10,10
reading,A2 +,7,10
listening,Pre - A1,0,10
listening,A1 -,9,10
listening,A1,7,10
listening,A1 +,15,10
listening,A2 -,8,10
listening,A2,4,10
listening,A2 +,3,10
speak 1,Pre - A1,7,12
speak 1,A1,0,12
speak 1,A2,0,12
speak 2,Pre - A1,6,12
speak 2,A1,1,12
speak 2,A2,0,12
reading,Pre - A1,0,12
reading,A1 -,0,12
reading,A1,2,12
reading,A1 +,1,12
reading,A2 -,2,12
reading,A2,1,12
reading,A2 +,1,12
listening,Pre - A1,0,12
listening,A1 -,0,12
listening,A1,2,12
listening,A1 +,0,12
listening,A2 -,2,12
listening,A2,1,12
listening,A2 +,2,12
speak 1,Pre - A1,1,13
speak 1,A1,0,13
speak 1,A2,0,13
speak 2,Pre - A1,1,13
speak 2,A1,0,13
speak 2,A2,0,13
reading,Pre - A1,0,13
reading,A1 -,0,13
reading,A1,0,13
reading,A1 +,0,13
reading,A2 -,1,13
reading,A2,0,13
reading,A2 +,0,13
listening,Pre - A1,0,13
listening,A1 -,0,13
listening,A1,0,13
listening,A1 +,0,13
listening,A2 -,0,13
listening,A2,0,13
listening,A2 +,1,13
