Top,Escuela,Porcentaje de aciertos correctos,Porcentaje de aciertos correctos para la sección Listening,Porcentaje de aciertos correctos para la sección Reading/Writing,Porcentaje de aciertos correctos para la sección Speaking parte 1,Porcentaje de aciertos correctos para la sección Speaking parte 2,Porcentaje de aciertos correctos para la sección Speaking,Calificación promedio en los exámenes para la sección Listening,Calificación promedio en los exámenes para la sección Reading/Writing,Calificación promedio en los exámenes para la sección Speaking parte 1,Calificación promedio en los exámenes para la sección Speaking parte 2,Calificación promedio en los exámenes para la sección Speaking,Promedio de aciertos en los exámenes para la sección Listening,Promedio de aciertos en los exámenes para la sección Reading/Writing,Promedio de aciertos en los exámenes para la sección Speaking parte 1,Promedio de aciertos en los exámenes para la sección Speaking parte 2,Promedio de aciertos en los exámenes para la sección Speaking
1,PROF. SANTOS GUZMAN TREVIÑO - 28DPR0694B,82.33,92.0,92.5,62.5,62.5,62.5,A2 +,A2 +,A2,A2,A2,23,37,5,5,5
2,NACIONES UNIDAS - 28DPR1892I,69.92,76.0,77.5,62.5,50.0,56.25,A2 -,A2 -,A2,A1,A1,19,31,5,4,4
3,CORLA MA. DE JESUS DE LA ROSA - 28DPR1372Z,66.67,80.0,95.0,25.0,25.0,25.0,A2,A2 +,A1,A1,A1,20,38,2,2,2
4,CARLOS A. CARRILLO - 28DPR1826J,63.67,76.0,77.5,37.5,37.5,37.5,A2 -,A2 -,A1,A1,A1,19,31,3,3,3
5,PROFA. EMMA PEREZ IBARRA - 28DPR2415O,62.67,68.0,70.0,50.0,50.0,50.0,A2 -,A1 +,A1,A1,A1,17,28,4,4,4
6,PROF. COSME PEREZ NUM. 2 - 28DPR0787R,60.83,80.0,90.0,12.5,12.5,12.5,A2,A2,A1,A1,A1,20,36,1,1,1
7,PROF. ALONSO BRICEÑO ROSALES - 28DPR2363Z,56.92,72.0,67.5,37.5,25.0,31.25,A2 -,A1 +,A1,A1,A1,18,27,3,2,3
8,LEYES DE REFORMA - 28DPR1360V,56.17,56.00000000000001,62.5,50.0,50.0,50.0,A1 +,A1 +,A1,A1,A1,14,25,4,4,4
9,PROF. CECILIO JESUS CASTILLO CASTILLO - 28DPR2439Y,53.83,64.0,60.0,37.5,37.5,37.5,A1 +,A1,A1,A1,A1,16,24,3,3,3
10,EMILIANO ZAPATA - 28DPR1698E,51.58,56.00000000000001,67.5,37.5,25.0,31.25,A1 +,A1 +,A1,A1,A1,14,27,3,2,2
11,FELIPE DURON ROBLES - 28DPR2298P,47.0,56.00000000000001,60.0,25.0,25.0,25.0,A1 +,A1,A1,A1,A1,14,24,2,2,2
12,NOGAL NUM. 1 - 28DPR1377V,46.33,64.0,62.5,12.5,12.5,12.5,A1 +,A1 +,A1,A1,A1,16,25,1,1,1
13,PEDRO JOSE MENDEZ - 28DPR2174G,45.33,56.00000000000001,67.5,12.5,12.5,12.5,A1 +,A1 +,A1,A1,A1,14,27,1,1,1
14,MAURICIO GONZALEZ DE LA GARZA - 28DPR2431F,42.25,48.0,60.0,25.0,12.5,18.75,A1,A1,A1,A1,A1,12,24,2,1,2
15,EUTIMIO RODRIGUEZ CABALLERO - 28DPR2474D,37.5,40.0,60.0,12.5,12.5,12.5,A1,A1,A1,A1,A1,10,24,1,1,1
